iter	Passed	Remaining
0	131	395389
1	189	283995
2	258	258318
3	359	269615
4	489	293025
5	573	285998
6	657	280946
7	745	278837
8	889	295453
9	1019	304688
10	1156	314145
11	1343	334518
12	1485	341375
13	1588	338790
14	1699	338140
15	1808	337209
16	1959	343814
17	2125	352207
18	2237	351111
19	2347	349831
20	2445	346881
21	2532	342831
22	2648	342823
23	2756	341753
24	2846	338707
25	2947	337097
26	3040	334834
27	3138	333136
28	3237	331723
29	3348	331455
30	3438	329304
31	3539	328271
32	3626	326062
33	3720	324567
34	3810	322813
35	3934	323969
36	4034	323076
37	4139	322643
38	4261	323538
39	4367	323181
40	4475	322993
41	4575	322273
42	4669	321109
43	4765	320138
44	4856	318916
45	4957	318344
46	5101	320554
47	5231	321713
48	5341	321685
49	5456	321927
50	5560	321517
51	5685	322300
52	5805	322830
53	5915	322744
54	6028	322808
55	6139	322770
56	6256	323012
57	6368	323051
58	6502	324148
59	6618	324309
60	6734	324446
61	6859	325048
62	6964	324664
63	7072	324432
64	7179	324163
65	7277	323529
66	7380	323089
67	7485	322768
68	7604	323025
69	7700	322320
70	7928	327059
71	8026	326413
72	8165	327388
73	8279	327379
74	8369	326401
75	8488	326585
76	8606	326698
77	8716	326543
78	8827	326392
79	8926	325809
80	9035	325611
81	9142	325340
82	9243	324855
83	9350	324595
84	9468	324716
85	9589	324928
86	9694	324587
87	9803	324411
88	9914	324272
89	10027	324209
90	10135	324002
91	10246	323878
92	10354	323656
93	10457	323301
94	10562	322974
95	10671	322821
96	10779	322611
97	10887	322392
98	10989	322016
99	11091	321667
100	11199	321451
101	11298	321018
102	11393	320470
103	11513	320606
104	11625	320519
105	11723	320072
106	11860	320667
107	11962	320340
108	12070	320156
109	12180	320011
110	12280	319616
111	12385	319364
112	12497	319293
113	12589	318714
114	12694	318473
115	12797	318168
116	12914	318220
117	13034	318342
118	13158	318574
119	13326	319824
120	13446	319932
121	13545	319532
122	13679	319960
123	13788	319799
124	13905	319829
125	13995	319237
126	14101	319002
127	14201	318650
128	14293	318122
129	14406	318055
130	14514	317876
131	14639	318069
132	14750	317964
133	14882	318317
134	14993	318201
135	15103	318060
136	15206	317783
137	15312	317565
138	15406	317114
139	15523	317127
140	15655	317447
141	15768	317378
142	15875	317171
143	16025	317839
144	16180	318591
145	16302	318684
146	16441	319097
147	16565	319230
148	16702	319593
149	16820	319588
150	16921	319274
151	17021	318921
152	17151	319143
153	17271	319178
154	17379	318989
155	17509	319220
156	17637	319390
157	17770	319643
158	17874	319386
159	17988	319292
160	18110	319346
161	18211	319040
162	18309	318671
163	18425	318633
164	18533	318434
