Solute,Solvent,Temperature,LogS
Brc1cn[nH]c1,CCO,283,0.6611733159553657
Brc1cn[nH]c1,CCO,286,0.67738997956138
Brc1cn[nH]c1,CCO,288,0.6949014022380842
Brc1cn[nH]c1,CCO,291,0.7110572418875828
Brc1cn[nH]c1,CCO,293,0.7265427158854528
Brc1cn[nH]c1,CCO,296,0.7444919413686677
Brc1cn[nH]c1,CCO,298,0.7614994126573248
Brc1cn[nH]c1,CCO,301,0.7791208039196235
Brc1cn[nH]c1,CCO,303,0.7992384468547581
Brc1cn[nH]c1,CCO,306,0.8184623608466761
Brc1cn[nH]c1,CCO,308,0.8382498865313128
Brc1cn[nH]c1,CCO,311,0.8604953526684304
Brc1cn[nH]c1,CCO,313,0.8840071179528316
Brc1cn[nH]c1,CCO,316,0.9056341216382982
Brc1cn[nH]c1,CCO,318,0.9261922843227486
Brc1cn[nH]c1,CO,283,0.7052919589520719
Brc1cn[nH]c1,CO,286,0.7353650819162828
Brc1cn[nH]c1,CO,288,0.76332372970327
Brc1cn[nH]c1,CO,291,0.794641461986456
Brc1cn[nH]c1,CO,293,0.8235171965583339
Brc1cn[nH]c1,CO,296,0.8568677415784
Brc1cn[nH]c1,CO,298,0.8834921602774307
Brc1cn[nH]c1,CO,301,0.9107796898584304
Brc1cn[nH]c1,CO,303,0.9378872425698154
<<<<<<< HEAD
Brc1cn[nH]c1,CO,306,0.9645057755744819
=======
Brc1cn[nH]c1,CO,306,0.964505775574482
>>>>>>> f6fd5201bcf4b9a6d9c8fc47d9deec9401da8cf7
Brc1cn[nH]c1,CO,308,0.9893211785107529
Brc1cn[nH]c1,CO,311,1.0125432024738867
Brc1cn[nH]c1,CO,313,1.0371420153478383
Brc1cn[nH]c1,CO,316,1.0612681452699655
Brc1cn[nH]c1,CO,318,1.08087636962695
Brc1cn[nH]c1,O,283,-0.5746122484134708
Brc1cn[nH]c1,O,286,-0.5556918928401574
Brc1cn[nH]c1,O,288,-0.5297855703040375
Brc1cn[nH]c1,O,291,-0.5066987392905299
Brc1cn[nH]c1,O,293,-0.4847521088953249
<<<<<<< HEAD
Brc1cn[nH]c1,O,296,-0.46209399026745607
=======
Brc1cn[nH]c1,O,296,-0.462093990267456
>>>>>>> f6fd5201bcf4b9a6d9c8fc47d9deec9401da8cf7
Brc1cn[nH]c1,O,298,-0.4372422518414769
Brc1cn[nH]c1,O,301,-0.4149127723280391
Brc1cn[nH]c1,O,303,-0.3923045749731933
Brc1cn[nH]c1,O,306,-0.3704196482019495
Brc1cn[nH]c1,O,308,-0.3500155065629196
<<<<<<< HEAD
Brc1cn[nH]c1,O,311,-0.33017178523389656
Brc1cn[nH]c1,O,313,-0.30739797335373314
Brc1cn[nH]c1,O,316,-0.2860507527345621
Brc1cn[nH]c1,O,318,-0.26541166898485236
Brc1sc(Br)c(Br)c1Br,CCO,278,-0.4615737453335825
Brc1sc(Br)c(Br)c1Br,CCO,282,-0.3977190831409074
Brc1sc(Br)c(Br)c1Br,CCO,286,-0.3390687884997911
Brc1sc(Br)c(Br)c1Br,CCO,290,-0.28208254810473454
Brc1sc(Br)c(Br)c1Br,CCO,294,-0.22335057399142372
