Solute,Solvent,Temperature,LogS
Brc1cn[nH]c1,CCO,283,0.6611733159553657
Brc1cn[nH]c1,CCO,286,0.67738997956138
Brc1cn[nH]c1,CCO,288,0.6949014022380842
Brc1cn[nH]c1,CCO,291,0.7110572418875828
Brc1cn[nH]c1,CCO,293,0.7265427158854528
Brc1cn[nH]c1,CCO,296,0.7444919413686677
Brc1cn[nH]c1,CCO,298,0.7614994126573248
Brc1cn[nH]c1,CCO,301,0.7791208039196235
Brc1cn[nH]c1,CCO,303,0.7992384468547581
Brc1cn[nH]c1,CCO,306,0.8184623608466761
Brc1cn[nH]c1,CCO,308,0.8382498865313128
Brc1cn[nH]c1,CCO,311,0.8604953526684304
Brc1cn[nH]c1,CCO,313,0.8840071179528316
Brc1cn[nH]c1,CCO,316,0.9056341216382982
Brc1cn[nH]c1,CCO,318,0.9261922843227486
Brc1cn[nH]c1,CO,283,0.7052919589520719
Brc1cn[nH]c1,CO,286,0.7353650819162828
Brc1cn[nH]c1,CO,288,0.76332372970327
Brc1cn[nH]c1,CO,291,0.794641461986456
Brc1cn[nH]c1,CO,293,0.8235171965583339
Brc1cn[nH]c1,CO,296,0.8568677415784
Brc1cn[nH]c1,CO,298,0.8834921602774307
Brc1cn[nH]c1,CO,301,0.9107796898584304
Brc1cn[nH]c1,CO,303,0.9378872425698154
Brc1cn[nH]c1,CO,306,0.964505775574482
Brc1cn[nH]c1,CO,308,0.9893211785107529
Brc1cn[nH]c1,CO,311,1.0125432024738867
Brc1cn[nH]c1,CO,313,1.0371420153478383
Brc1cn[nH]c1,CO,316,1.0612681452699655
Brc1cn[nH]c1,CO,318,1.08087636962695
Brc1cn[nH]c1,O,283,-0.5746122484134708
Brc1cn[nH]c1,O,286,-0.5556918928401574
Brc1cn[nH]c1,O,288,-0.5297855703040375
Brc1cn[nH]c1,O,291,-0.5066987392905299
Brc1cn[nH]c1,O,293,-0.4847521088953249
Brc1cn[nH]c1,O,296,-0.462093990267456
Brc1cn[nH]c1,O,298,-0.4372422518414769
Brc1cn[nH]c1,O,301,-0.4149127723280391
Brc1cn[nH]c1,O,303,-0.3923045749731933
Brc1cn[nH]c1,O,306,-0.3704196482019495
Brc1cn[nH]c1,O,308,-0.3500155065629196
Brc1cn[nH]c1,O,311,-0.3301717852338965
Brc1cn[nH]c1,O,313,-0.3073979733537331
Brc1cn[nH]c1,O,316,-0.2860507527345621
Brc1cn[nH]c1,O,318,-0.2654116689848523
Brc1sc(Br)c(Br)c1Br,CCO,278,-0.4615737453335825
Brc1sc(Br)c(Br)c1Br,CCO,282,-0.3977190831409074
Brc1sc(Br)c(Br)c1Br,CCO,286,-0.3390687884997911
Brc1sc(Br)c(Br)c1Br,CCO,290,-0.2820825481047345
Brc1sc(Br)c(Br)c1Br,CCO,294,-0.2233505739914237
Brc1sc(Br)c(Br)c1Br,CCO,298,-0.1656246465686446
Brc1sc(Br)c(Br)c1Br,CCO,302,-0.1096804872924859
Brc1sc(Br)c(Br)c1Br,CCO,306,-0.0589651164642305
Brc1sc(Br)c(Br)c1Br,CCO,310,-0.0045671851154583
Brc1sc(Br)c(Br)c1Br,CCO,314,0.04332887458483
