iter	RMSE
0	2.112882022
1	2.048185705
2	1.99008354
3	1.936170082
4	1.878781451
5	1.823791278
6	1.772940405
7	1.729350719
8	1.689142836
9	1.647420777
10	1.608740122
11	1.572196306
12	1.537339374
13	1.504130476
14	1.473355105
15	1.446310259
16	1.420069279
17	1.396120934
18	1.372439449
19	1.351981559
20	1.331130234
21	1.313818262
22	1.294300002
23	1.276124294
24	1.261162687
25	1.246145516
26	1.232100853
27	1.219747796
28	1.207090411
29	1.195023582
30	1.185084778
31	1.175877143
32	1.167117071
33	1.158056378
34	1.149372533
35	1.142022287
36	1.134616598
37	1.12761934
38	1.120970966
39	1.113918848
40	1.107848247
41	1.1015366
42	1.096179376
43	1.090554605
44	1.085559442
45	1.080788751
46	1.075959342
47	1.071132744
48	1.066060943
49	1.062536207
50	1.058992351
51	1.055902324
52	1.052623641
53	1.049054369
54	1.046051421
55	1.042598153
56	1.039160133
57	1.036181877
58	1.033588978
59	1.03109808
60	1.028173274
61	1.025716432
62	1.023360374
63	1.021015727
64	1.019141922
65	1.016800636
66	1.014702396
67	1.012530382
68	1.010803416
69	1.007434424
70	1.005469281
71	1.003391674
72	1.000639973
73	0.9986888413
74	0.9971141825
75	0.9956630442
76	0.9934934753
77	0.991373663
78	0.9896651645
79	0.9879911287
80	0.9860252315
81	0.9847699409
82	0.9835986397
83	0.982069879
84	0.9807102211
85	0.9790518314
86	0.9775994426
87	0.9758694202
88	0.9741553368
89	0.9728019811
90	0.9716691963
91	0.9705173368
92	0.9695263017
93	0.9679529874
94	0.9666125925
95	0.9653414552
96	0.9644318735
97	0.9631685613
98	0.9616877893
99	0.9607791224
100	0.9597064805
101	0.958566527
102	0.9570546972
103	0.9557087592
104	0.9548419641
105	0.9534343133
106	0.952283042
107	0.9512266488
108	0.9499253501
109	0.9492652738
110	0.9481759902
111	0.9470420985
112	0.9460917046
113	0.945237985
114	0.9441878658
115	0.9430201542
116	0.9422537083
117	0.9411323004
118	0.9397761535
119	0.9387903809
120	0.9378210313
121	0.9367861774
122	0.9358105564
123	0.9349437739
124	0.9341601758
125	0.9327722864
126	0.9319108692
127	0.9309495217
128	0.9304468989
129	0.9297048405
130	0.929126903
131	0.9278607028
132	0.9269975644
133	0.9263979357
134	0.9254128448
135	0.9244400702
136	0.9237743792
137	0.9224718489
138	0.9209552109
139	0.9200592486
140	0.9191562966
141	0.9178660547
142	0.9170418872
143	0.9167798432
144	0.9155997042
145	0.9148182002
146	0.9138816034
147	0.9128331865
148	0.9116973327
149	0.9108554082
150	0.9097417714
151	0.9088013402
152	0.907865036
153	0.9064964057
154	0.9053284192
155	0.9046007879
156	0.9038684364
157	0.9033483283
158	0.902155699
159	0.9010412124
160	0.9009227125
161	0.9000733664
162	0.8994326139
163	0.8986547711
164	0.8980896702
165	0.8974812091
166	0.8965326877
167	0.8950688267
168	0.8945330186
169	0.8939175072
170	0.8931901445
171	0.8926212835
172	0.892532276
173	0.8924187024
174	0.8918812959
175	0.8910239983
176	0.8900296711
177	0.8892921569
178	0.8885801724
179	0.8879276187
180	0.8878477045
181	0.8875819321
182	0.8866720212
183	0.8858856613
184	0.885806523
185	0.8857069423
186	0.885090226
187	0.8850219907
188	0.8841096472
189	0.8831581105
190	0.8824560547
191	0.8816357656
192	0.8811557215
193	0.8808480641
194	0.8797648214
195	0.878612003
196	0.8783657868
197	0.8781809911
198	0.8780513563
199	0.8770059267
200	0.8762117301
201	0.8752077438
202	0.8745954296
203	0.8733996845
204	0.8726576537
205	0.871818119
206	0.8708368437
207	0.8696727769
208	0.8686853828
209	0.8679055676
210	0.8672485943
211	0.8661264422
212	0.8651874869
213	0.8644663469
214	0.8643056455
215	0.8631678959
216	0.862075436
217	0.8612456869
218	0.860267667
219	0.8592993739
220	0.8592329329
221	0.8585648612
222	0.8573072498
223	0.8563276435
224	0.8554177869
225	0.8543660848
226	0.8537646948
227	0.8530775717
228	0.8523863864
229	0.8516049651
230	0.8505235426
231	0.8492308026
232	0.849094405
233	0.8482145552
234	0.8479894304
235	0.8479102575
236	0.8465851934
237	0.845693347
238	0.8446978947
239	0.8438429143
240	0.8430199792
241	0.842944736
242	0.8422240378
243	0.841084372
244	0.8400207683
245	0.839278903
246	0.8385961739
247	0.8377825971
248	0.8369918744
249	0.8359011891
250	0.8347787565
251	0.8341421991
252	0.8334212047
253	0.8325837793
254	0.8318141509
255	0.8310557859
256	0.8302217611
257	0.8292913356
258	0.8286069825
259	0.8277314151
260	0.8270209685
261	0.8261539867
262	0.8260122741
263	0.8259483712
264	0.8249332973
265	0.8240068752
266	0.822889625
267	0.8220911625
268	0.8213666118
269	0.8207301693
270	0.81989923
271	0.8196697192
272	0.8186312197
273	0.8181446138
274	0.8180039545
275	0.8170037683
276	0.8162208836
277	0.815212161
278	0.814498701
279	0.8138835675
280	0.8138233744
281	0.8127928033
282	0.8122888236
283	0.8121670159
284	0.8121023995
285	0.8114692097
286	0.8106837618
287	0.8101176563
288	0.8097119754
289	0.8091660253
290	0.8086979201
291	0.8078143164
292	0.8072240444
293	0.8064805715
294	0.8057101592
295	0.8056588043
296	0.8050119645
297	0.8043300601
298	0.8039827167
299	0.802987449
300	0.8029451507
301	0.8019199145
302	0.8018521056
303	0.8012354612
304	0.8009553511
305	0.8000690622
306	0.7993990736
307	0.7988903699
308	0.7988303651
309	0.7981811076
310	0.7981359528
311	0.7978232179
312	0.7971129693
313	0.7960330066
314	0.7955070696
315	0.7954612389
316	0.7946366299
317	0.7942448402
318	0.7942005526
319	0.7932467154
320	0.792713836
321	0.7916973257
322	0.7913790145
323	0.7907066572
324	0.7901387566
