iter	Passed	Remaining
0	63	127578
1	69	69619
2	73	49112
3	77	38694
4	81	32607
5	85	28302
6	89	25446
7	94	23445
8	98	21851
9	102	20340
10	105	19145
11	109	18088
12	114	17445
13	118	16837
14	123	16304
15	127	15777
16	131	15350
17	134	14806
18	137	14333
19	140	13952
20	143	13567
21	147	13228
22	150	12897
23	153	12603
24	156	12361
25	159	12097
26	162	11867
27	165	11652
28	168	11455
29	171	11284
30	175	11122
31	178	10956
32	181	10801
33	184	10642
34	187	10518
35	190	10380
36	193	10252
37	196	10136
38	199	10022
39	202	9933
40	206	9873
41	209	9784
42	213	9710
43	216	9629
44	219	9555
45	223	9480
46	226	9413
47	229	9347
48	233	9278
49	236	9222
50	240	9171
51	243	9118
52	246	9068
53	250	9023
54	254	8987
55	257	8941
56	261	8899
57	264	8853
58	267	8810
59	271	8787
60	275	8750
61	279	8736
62	283	8701
63	287	8682
64	290	8649
65	294	8618
66	297	8594
67	301	8568
68	305	8555
69	309	8538
70	313	8522
71	317	8506
72	322	8502
73	326	8490
74	330	8478
75	334	8458
76	338	8458
77	343	8464
78	348	8474
79	354	8499
80	358	8504
81	364	8535
82	369	8534
83	374	8536
84	379	8546
85	383	8546
86	388	8542
87	392	8538
88	397	8527
89	401	8524
90	405	8513
91	410	8508
92	414	8499
93	419	8496
94	423	8486
95	427	8473
96	430	8455
97	435	8444
98	438	8427
99	442	8411
100	446	8397
101	450	8386
102	454	8373
103	458	8360
104	462	8346
105	466	8338
106	470	8324
107	474	8308
108	478	8294
109	481	8281
110	486	8275
111	490	8264
112	494	8256
113	498	8243
114	502	8233
115	505	8218
116	509	8205
117	513	8192
118	517	8185
119	521	8171
120	525	8160
121	529	8146
122	533	8137
123	536	8121
124	540	8102
125	543	8089
126	547	8073
127	551	8067
128	555	8050
129	559	8044
130	563	8036
131	567	8035
132	571	8019
133	575	8014
134	579	8008
135	584	8007
136	588	8006
137	593	8009
138	598	8011
139	603	8012
140	608	8027
141	618	8092
142	624	8111
143	630	8127
144	640	8196
145	647	8224
146	651	8213
147	655	8197
148	658	8180
149	661	8162
150	665	8153
151	669	8145
152	673	8135
153	677	8123
154	681	8117
155	685	8104
156	689	8094
157	693	8079
158	697	8074
159	701	8063
160	704	8048
161	708	8038
162	712	8033
163	716	8020
164	720	8008
165	723	7998
166	728	7995
167	732	7988
168	736	7975
169	739	7963
170	743	7951
171	747	7949
172	751	7933
173	754	7922
174	759	7916
175	763	7908
176	767	7903
177	771	7895
178	774	7883
179	778	7873
180	781	7857
181	785	7843
182	789	7834
183	792	7821
184	795	7808
185	799	7793
186	802	7783
187	806	7769
188	809	7760
189	813	7749
190	817	7738
191	821	7731
192	824	7721
193	829	7717
194	833	7710
195	837	7705
196	840	7696
197	844	7688
198	848	7679
199	852	7673
200	856	7663
201	860	7657
202	864	7650
203	868	7642
204	871	7633
205	875	7621
206	878	7612
207	882	7601
208	885	7591
209	889	7580
210	893	7578
211	897	7570
212	901	7561
213	904	7551
214	908	7539
215	911	7530
216	915	7520
217	918	7511
218	922	7501
219	926	7497
220	930	7488
221	934	7481
222	938	7476
223	942	7468
224	945	7459
225	949	7451
226	953	7443
227	956	7433
228	960	7426
229	963	7417
230	967	7410
231	971	7402
232	975	7397
233	979	7388
234	982	7378
235	985	7367
236	989	7359
237	992	7351
238	996	7341
239	1000	7333
240	1003	7325
241	1007	7315
242	1011	7312
243	1015	7307
244	1019	7299
245	1022	7290
246	1026	7284
247	1029	7275
248	1033	7267
249	1037	7259
250	1040	7252
251	1044	7244
252	1047	7235
253	1051	7229
254	1055	7222
255	1059	7215
256	1062	7206
257	1066	7201
258	1070	7192
259	1073	7186
260	1077	7178
261	1081	7175
262	1085	7170
263	1089	7165
264	1094	7167
265	1101	7178
266	1105	7176
267	1110	7173
268	1114	7169
269	1118	7168
270	1122	7164
271	1127	7160
272	1131	7155
273	1134	7149
274	1139	7147
275	1144	7147
276	1148	7146
277	1153	7145
278	1158	7144
279	1161	7137
280	1165	7130
281	1169	7127
282	1173	7122
283	1177	7112
284	1180	7104
285	1186	7111
286	1192	7120
287	1198	7124
288	1203	7124
289	1208	7127
290	1214	7130
291	1219	7133
292	1224	7136
293	1230	7138
294	1235	7140
295	1240	7142
296	1245	7142
297	1250	7141
298	1255	7141
299	1261	7147
300	1266	7148
301	1271	7147
302	1274	7140
303	1278	7135
304	1282	7129
305	1286	7124
306	1290	7118
307	1294	7112
308	1298	7105
309	1302	7098
310	1305	7092
311	1309	7085
312	1313	7080
313	1317	7075
314	1322	7073
315	1325	7066
316	1330	7062
317	1333	7054
318	1337	7046
319	1340	7038
320	1344	7031
321	1347	7024
322	1351	7017
323	1355	7010
324	1358	7003
325	1362	6996
326	1366	6990
327	1370	6985
328	1373	6977
329	1377	6970
330	1381	6964
331	1386	6964
332	1389	6957
