PhysChem_Feature,Best_Correlated_Feature,Best_Category,Spearman_Correlation,Abs_Correlation
LabuteASA,total_atoms,COMPOSITIONAL,0.9838741011590576,0.9838741011590576
abraham_E,Chi0v,TOPOLOGICAL,0.9807991319660553,0.9807991319660553
MolMR,Chi0v,TOPOLOGICAL,0.980799067859602,0.980799067859602
abraham_V,Chi1n,TOPOLOGICAL,0.9620940920514278,0.9620940920514278
TPSA,NOCount,COMPOSITIONAL,0.9573865533157061,0.9573865533157061
abraham_A,NumHDonors,COMPOSITIONAL,0.9338402667720167,0.9338402667720167
SlogP_VSA7,Morgan_561,TOPOLOGICAL,0.9229167625668103,0.9229167625668103
VSA_EState6,fr_benzene,COMPOSITIONAL,0.9112856245770091,0.9112856245770091
SMR_VSA2,fr_nitrile,COMPOSITIONAL,0.9057791722924813,0.9057791722924813
SMR_VSA1,num_O,COMPOSITIONAL,0.8996631220869237,0.8996631220869237
SMR_VSA7,NumAromaticCarbocycles,COMPOSITIONAL,0.8851786497295067,0.8851786497295067
BCUT2D_MWHI,AUTOCORR2D_49,TOPOLOGICAL,0.8832919417260559,0.8832919417260559
abraham_B,NOCount,COMPOSITIONAL,0.8654324457234135,0.8654324457234135
abraham_S,NumHeteroatoms,COMPOSITIONAL,0.8552734064698294,0.8552734064698294
SlogP_VSA11,MACCS_113,TOPOLOGICAL,0.8463381601322495,0.8463381601322495
SlogP_VSA6,AUTOCORR2D_40,TOPOLOGICAL,0.8444961309996443,0.8444961309996443
SlogP_VSA10,MACCS_135,TOPOLOGICAL,0.8334554586986412,0.8334554586986412
BCUT2D_CHGHI,mose_branched_4,TOPOLOGICAL,0.8190207343977594,0.8190207343977594
VSA_EState2,MACCS_154,TOPOLOGICAL,0.7952317021505431,0.7952317021505431
VSA_EState10,num_Cl,COMPOSITIONAL,0.791062531772075,0.791062531772075
SMR_VSA3,MACCS_121,TOPOLOGICAL,0.7783510240001303,0.7783510240001303
BCUT2D_MRHI,AUTOCORR2D_49,TOPOLOGICAL,0.7613968140587289,0.7613968140587289
MaxAbsPartialCharge,MACCS_157,TOPOLOGICAL,0.7607193133966049,0.7607193133966049
SlogP_VSA12,AUTOCORR2D_48,TOPOLOGICAL,0.7605499060032513,0.7605499060032513
