Compositional_Feature,Best_Correlated,Category,Correlation,Abs_Corr
fr_benzene,mose_benzene,TOPOLOGICAL,1.0,1.0
num_I,MACCS_27,TOPOLOGICAL,0.9999871262800882,0.9999871262800882
num_P,MACCS_29,TOPOLOGICAL,0.9999602780647636,0.9999602780647636
fr_nitrile,MACCS_41,TOPOLOGICAL,0.9999384551149684,0.9999384551149684
num_Br,MACCS_46,TOPOLOGICAL,0.9998814988634009,0.9998814988634009
NumAromaticCarbocycles,mose_benzene,TOPOLOGICAL,0.9996112678210856,0.9996112678210856
num_F,MACCS_42,TOPOLOGICAL,0.9996035977289145,0.9996035977289145
fr_NH2,MACCS_84,TOPOLOGICAL,0.998614050943343,0.998614050943343
HeavyAtomCount,Chi1,TOPOLOGICAL,0.9981546926389936,0.9981546926389936
total_atoms,Chi1,TOPOLOGICAL,0.9981546838931975,0.9981546838931975
num_S,MACCS_88,TOPOLOGICAL,0.9969737652465724,0.9969737652465724
NumValenceElectrons,Chi0,TOPOLOGICAL,0.9945389725221578,0.9945389725221578
num_Cl,MACCS_103,TOPOLOGICAL,0.994337474517609,0.994337474517609
fr_Ar_N,MACCS_65,TOPOLOGICAL,0.9941616418878019,0.9941616418878019
fr_halogen,MACCS_134,TOPOLOGICAL,0.9876559595759627,0.9876559595759627
fr_nitro,MACCS_56,TOPOLOGICAL,0.9832193550151513,0.9832193550151513
RingCount,mose_fused,TOPOLOGICAL,0.9813439178157298,0.9813439178157298
fr_Ar_OH,Morgan_578,TOPOLOGICAL,0.9710010770031274,0.9710010770031274
HeavyAtomMolWt,AUTOCORR2D_0,TOPOLOGICAL,0.9679096679797342,0.9679096679797342
fr_sulfonamd,MACCS_32,TOPOLOGICAL,0.9620895176435059,0.9620895176435059
MolWt,AUTOCORR2D_0,TOPOLOGICAL,0.9617481622991584,0.9617481622991584
ExactMolWt,AUTOCORR2D_0,TOPOLOGICAL,0.9616028699065898,0.9616028699065898
fr_bicyclic,MACCS_105,TOPOLOGICAL,0.9603626926789269,0.9603626926789269
num_C,Chi1n,TOPOLOGICAL,0.9583880849356932,0.9583880849356932
NOCount,TPSA,PHYSICOCHEMICAL,0.9573865533157061,0.9573865533157061
NumHDonors,abraham_A,PHYSICOCHEMICAL,0.9338402667720167,0.9338402667720167
num_B,MACCS_18,TOPOLOGICAL,0.925758120250734,0.925758120250734
NumAromaticHeterocycles,MACCS_65,TOPOLOGICAL,0.9232456862898586,0.9232456862898586
num_N,MACCS_161,TOPOLOGICAL,0.9208716317573057,0.9208716317573057
fr_methoxy,Morgan_841,TOPOLOGICAL,0.9187138807031989,0.9187138807031989
fr_nitro_arom,MACCS_56,TOPOLOGICAL,0.9130633972930612,0.9130633972930612
fr_ArN,Morgan_433,TOPOLOGICAL,0.9076189325162055,0.9076189325162055
NHOHCount,abraham_A,PHYSICOCHEMICAL,0.9025799770626286,0.9025799770626286
fr_phenol,Morgan_578,TOPOLOGICAL,0.8965610627341318,0.8965610627341318
NumHeteroatoms,AUTOCORR2D_81,TOPOLOGICAL,0.8896484643639478,0.8896484643639478
NumAromaticRings,MACCS_162,TOPOLOGICAL,0.8744813193434767,0.8744813193434767
fr_term_acetylene,MACCS_17,TOPOLOGICAL,0.8711028454837209,0.8711028454837209
num_O,MACCS_146,TOPOLOGICAL,0.8707078622815297,0.8707078622815297
fr_phenol_noOrthoHbond,Morgan_578,TOPOLOGICAL,0.8697427874948573,0.8697427874948573
fr_N_O,MACCS_13,TOPOLOGICAL,0.8664700066658624,0.8664700066658624
NumHAcceptors,TPSA,PHYSICOCHEMICAL,0.8591055847545708,0.8591055847545708
fr_C_O,MACCS_154,TOPOLOGICAL,0.8590322497906063,0.8590322497906063
NumRotatableBonds,Kappa2,TOPOLOGICAL,0.850999242914349,0.850999242914349
fr_epoxide,MACCS_16,TOPOLOGICAL,0.849305138402855,0.849305138402855
