Feature,Category,Correlation,Abs_Corr
Kappa1,TOPOLOGICAL,0.6241594055166341,0.6241594055166341
Kappa2,TOPOLOGICAL,0.5887395794398037,0.5887395794398037
fr_C_O_noCOO,COMPOSITIONAL,0.5809698348251572,0.5809698348251572
abraham_V,PHYSICOCHEMICAL,0.5807171460849934,0.5807171460849934
NumValenceElectrons,COMPOSITIONAL,0.5779011156684813,0.5779011156684813
fr_C_O,COMPOSITIONAL,0.572810600264924,0.572810600264924
Chi1n,TOPOLOGICAL,0.5547103408535429,0.5547103408535429
Chi0v,TOPOLOGICAL,0.5508315374949041,0.5508315374949041
Chi0n,TOPOLOGICAL,0.549543491088473,0.549543491088473
Chi0,TOPOLOGICAL,0.5448969798442872,0.5448969798442872
Chi2n,TOPOLOGICAL,0.5439813481181037,0.5439813481181037
ExactMolWt,COMPOSITIONAL,0.5312942857267391,0.5312942857267391
MolWt,COMPOSITIONAL,0.5305098186552769,0.5305098186552769
AUTOCORR2D_22,TOPOLOGICAL,0.5218982259124257,0.5218982259124257
AUTOCORR2D_23,TOPOLOGICAL,0.5215934368579407,0.5215934368579407
AUTOCORR2D_38,TOPOLOGICAL,0.5202709913883173,0.5202709913883173
AUTOCORR2D_39,TOPOLOGICAL,0.5200608216243434,0.5200608216243434
total_atoms,COMPOSITIONAL,0.5188956310288081,0.5188956310288081
HeavyAtomCount,COMPOSITIONAL,0.5188933217212292,0.5188933217212292
AUTOCORR2D_79,TOPOLOGICAL,0.5177895036225973,0.5177895036225973
AUTOCORR2D_71,TOPOLOGICAL,0.517334911212283,0.517334911212283
fr_ether,COMPOSITIONAL,0.5170612693082178,0.5170612693082178
AUTOCORR2D_15,TOPOLOGICAL,0.5154315255707168,0.5154315255707168
AUTOCORR2D_7,TOPOLOGICAL,0.5140455653165679,0.5140455653165679
AUTOCORR2D_14,TOPOLOGICAL,0.5138393185162922,0.5138393185162922
Chi1v,TOPOLOGICAL,0.5130617192359851,0.5130617192359851
Chi3n,TOPOLOGICAL,0.5127123065695581,0.5127123065695581
AUTOCORR2D_70,TOPOLOGICAL,0.5113619584354568,0.5113619584354568
AUTOCORR2D_63,TOPOLOGICAL,0.5113055451440575,0.5113055451440575
