SMILES,LogS
CCN(CC)C(C)C(C)OC(=O)c1ccc(N)cc1,-3.42
Clc1ccc(Cl)c(-c2ccccc2)c1Cl,-6.29
CC1OC(=O)c2cc(N)ccc21,-1.7891
CN(O)C(=O)C1CCCCCC1,-1.45
CC1CCC2(CCC(C)O2)O1,-0.4487
CCOC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CCC1,-2.9594
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,-6.0
Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1,-6.11
CCCOCC,-0.6806
Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
N#CCO/N=C(\C#N)c1ccccc1,-3.2899
O=C(O)c1ccncc1,-1.3759670992
O=[N+]([O-])c1ccccc1NS(=O)(=O)c1ccccc1,-4.01
O=Nc1ccc2ccccc2c1O,-2.5395
CN(C)C(=O)c1ccc(C(=O)N(C)C)cc1,0.2656
COc1cc(C(=O)O)ccc1O,-2.0496
N#Cc1cc(I)c(O)c(I)c1,-3.61
COC(=O)C(Cl)Cc1ccc(Cl)cc1,-3.7655
CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,-4.365622838
O=c1c2ccc3c4c(ccc(c24)c2nc4ccccc4n12)c(=O)n1c2ccccc2nc31,-7.7579945848
C1CCCC1,-2.64
COS(=O)(=O)OC,-0.6537
CCCCC(CC)CNCC(CC)CCCC,-4.2367225564
O=c1c2cc(F)ccc2nc(-n2cncn2)n1-c1ccc(Cl)cc1Cl,-5.5754
CCCOC(N)=O,-0.1302
CCCCN(CCCC)c1ccc2c(c1)Oc1cc(C)c(Nc3ccccc3)cc1C21OC(=O)c2ccccc21,-7.4042503575
NC(=S)Nc1cccc([N+](=O)[O-])c1,-1.4499
OCc1cc(Cl)c(Cl)c(Cl)c1,-3.0948
CC(C)(C)c1ccc(OC(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c(C(C)(C)C)c1,-7.3410901182
CCCCCCCC(=O)OCSc1ncnc2[nH]cnc12,-4.62
CNC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,-5.41
Cc1cc(Cc2cc(Cl)ccc2Cl)c(Cl)cc1Cl,-8.06
CC(C)CC(=O)O,-0.3279248515
