Feature,Category
MolWt,COMPOSITIONAL
NumValenceElectrons,COMPOSITIONAL
NumRadicalElectrons,COMPOSITIONAL
HeavyAtomCount,COMPOSITIONAL
NHOHCount,COMPOSITIONAL
NOCount,COMPOSITIONAL
NumAliphaticCarbocycles,COMPOSITIONAL
NumAliphaticHeterocycles,COMPOSITIONAL
NumAliphaticRings,COMPOSITIONAL
NumAmideBonds,COMPOSITIONAL
NumAromaticCarbocycles,COMPOSITIONAL
NumAromaticHeterocycles,COMPOSITIONAL
NumAromaticRings,COMPOSITIONAL
NumBridgeheadAtoms,COMPOSITIONAL
NumHAcceptors,COMPOSITIONAL
NumHDonors,COMPOSITIONAL
NumHeteroatoms,COMPOSITIONAL
NumRotatableBonds,COMPOSITIONAL
NumSaturatedCarbocycles,COMPOSITIONAL
NumSaturatedHeterocycles,COMPOSITIONAL
NumSaturatedRings,COMPOSITIONAL
NumSpiroAtoms,COMPOSITIONAL
NumUnspecifiedAtomStereoCenters,COMPOSITIONAL
RingCount,COMPOSITIONAL
fr_Al_COO,COMPOSITIONAL
fr_Al_OH,COMPOSITIONAL
fr_Al_OH_noTert,COMPOSITIONAL
fr_ArN,COMPOSITIONAL
fr_Ar_COO,COMPOSITIONAL
fr_Ar_N,COMPOSITIONAL
fr_Ar_NH,COMPOSITIONAL
fr_Ar_OH,COMPOSITIONAL
fr_COO,COMPOSITIONAL
fr_COO2,COMPOSITIONAL
fr_C_O,COMPOSITIONAL
fr_C_O_noCOO,COMPOSITIONAL
fr_C_S,COMPOSITIONAL
fr_HOCCN,COMPOSITIONAL
fr_Imine,COMPOSITIONAL
fr_NH0,COMPOSITIONAL
fr_NH1,COMPOSITIONAL
fr_NH2,COMPOSITIONAL
fr_N_O,COMPOSITIONAL
fr_Ndealkylation1,COMPOSITIONAL
fr_Ndealkylation2,COMPOSITIONAL
fr_Nhpyrrole,COMPOSITIONAL
fr_SH,COMPOSITIONAL
fr_aldehyde,COMPOSITIONAL
fr_alkyl_carbamate,COMPOSITIONAL
fr_alkyl_halide,COMPOSITIONAL
fr_allylic_oxid,COMPOSITIONAL
fr_amide,COMPOSITIONAL
fr_amidine,COMPOSITIONAL
fr_aniline,COMPOSITIONAL
fr_aryl_methyl,COMPOSITIONAL
fr_azide,COMPOSITIONAL
fr_azo,COMPOSITIONAL
fr_barbitur,COMPOSITIONAL
fr_benzene,COMPOSITIONAL
fr_benzodiazepine,COMPOSITIONAL
fr_bicyclic,COMPOSITIONAL
fr_diazo,COMPOSITIONAL
fr_dihydropyridine,COMPOSITIONAL
fr_epoxide,COMPOSITIONAL
fr_ester,COMPOSITIONAL
fr_ether,COMPOSITIONAL
fr_furan,COMPOSITIONAL
fr_guanido,COMPOSITIONAL
fr_halogen,COMPOSITIONAL
fr_hdrzine,COMPOSITIONAL
fr_hdrzone,COMPOSITIONAL
fr_imidazole,COMPOSITIONAL
fr_imide,COMPOSITIONAL
fr_isocyan,COMPOSITIONAL
fr_isothiocyan,COMPOSITIONAL
