Feature,Category
num_O,COMPOSITIONAL
num_N,COMPOSITIONAL
num_Cl,COMPOSITIONAL
num_S,COMPOSITIONAL
num_F,COMPOSITIONAL
num_P,COMPOSITIONAL
num_Br,COMPOSITIONAL
num_Na,COMPOSITIONAL
num_I,COMPOSITIONAL
num_K,COMPOSITIONAL
num_B,COMPOSITIONAL
num_Se,COMPOSITIONAL
num_Ca,COMPOSITIONAL
num_Li,COMPOSITIONAL
NumRadicalElectrons,COMPOSITIONAL
NOCount,COMPOSITIONAL
NumAliphaticCarbocycles,COMPOSITIONAL
NumAliphaticHeterocycles,COMPOSITIONAL
NumAliphaticRings,COMPOSITIONAL
NumAromaticHeterocycles,COMPOSITIONAL
NumAromaticRings,COMPOSITIONAL
NumHeteroatoms,COMPOSITIONAL
NumRotatableBonds,COMPOSITIONAL
NumSaturatedCarbocycles,COMPOSITIONAL
NumSaturatedHeterocycles,COMPOSITIONAL
NumSaturatedRings,COMPOSITIONAL
fr_Al_COO,COMPOSITIONAL
fr_Al_OH,COMPOSITIONAL
fr_ArN,COMPOSITIONAL
fr_Ar_COO,COMPOSITIONAL
fr_Ar_NH,COMPOSITIONAL
fr_Ar_OH,COMPOSITIONAL
fr_COO,COMPOSITIONAL
fr_C_O,COMPOSITIONAL
fr_C_O_noCOO,COMPOSITIONAL
fr_C_S,COMPOSITIONAL
fr_HOCCN,COMPOSITIONAL
fr_Imine,COMPOSITIONAL
fr_NH0,COMPOSITIONAL
fr_NH1,COMPOSITIONAL
fr_NH2,COMPOSITIONAL
fr_N_O,COMPOSITIONAL
fr_Ndealkylation1,COMPOSITIONAL
fr_Ndealkylation2,COMPOSITIONAL
fr_SH,COMPOSITIONAL
fr_aldehyde,COMPOSITIONAL
fr_alkyl_carbamate,COMPOSITIONAL
fr_alkyl_halide,COMPOSITIONAL
fr_allylic_oxid,COMPOSITIONAL
fr_amide,COMPOSITIONAL
fr_amidine,COMPOSITIONAL
fr_aniline,COMPOSITIONAL
fr_aryl_methyl,COMPOSITIONAL
fr_azide,COMPOSITIONAL
fr_azo,COMPOSITIONAL
fr_barbitur,COMPOSITIONAL
fr_benzodiazepine,COMPOSITIONAL
fr_bicyclic,COMPOSITIONAL
fr_diazo,COMPOSITIONAL
fr_dihydropyridine,COMPOSITIONAL
fr_epoxide,COMPOSITIONAL
fr_ester,COMPOSITIONAL
fr_ether,COMPOSITIONAL
fr_furan,COMPOSITIONAL
fr_guanido,COMPOSITIONAL
fr_halogen,COMPOSITIONAL
fr_hdrzine,COMPOSITIONAL
fr_hdrzone,COMPOSITIONAL
fr_imidazole,COMPOSITIONAL
fr_imide,COMPOSITIONAL
fr_isocyan,COMPOSITIONAL
fr_isothiocyan,COMPOSITIONAL
fr_ketone,COMPOSITIONAL
fr_ketone_Topliss,COMPOSITIONAL
fr_lactam,COMPOSITIONAL
fr_lactone,COMPOSITIONAL
fr_methoxy,COMPOSITIONAL
fr_morpholine,COMPOSITIONAL
fr_nitrile,COMPOSITIONAL
fr_nitro,COMPOSITIONAL
fr_nitro_arom_nonortho,COMPOSITIONAL
fr_nitroso,COMPOSITIONAL
fr_oxazole,COMPOSITIONAL
fr_oxime,COMPOSITIONAL
fr_para_hydroxylation,COMPOSITIONAL
fr_phos_acid,COMPOSITIONAL
fr_piperdine,COMPOSITIONAL
fr_piperzine,COMPOSITIONAL
fr_priamide,COMPOSITIONAL
fr_prisulfonamd,COMPOSITIONAL
fr_pyridine,COMPOSITIONAL
fr_quatN,COMPOSITIONAL
fr_sulfide,COMPOSITIONAL
fr_sulfonamd,COMPOSITIONAL
fr_sulfone,COMPOSITIONAL
fr_term_acetylene,COMPOSITIONAL
fr_tetrazole,COMPOSITIONAL
fr_thiazole,COMPOSITIONAL
fr_thiocyan,COMPOSITIONAL
fr_thiophene,COMPOSITIONAL
fr_unbrch_alkane,COMPOSITIONAL
fr_urea,COMPOSITIONAL
AUTOCORR2D_0,TOPOLOGICAL
AUTOCORR2D_1,TOPOLOGICAL
AUTOCORR2D_2,TOPOLOGICAL
AUTOCORR2D_3,TOPOLOGICAL
AUTOCORR2D_5,TOPOLOGICAL
AUTOCORR2D_6,TOPOLOGICAL
AUTOCORR2D_7,TOPOLOGICAL
AUTOCORR2D_8,TOPOLOGICAL
AUTOCORR2D_9,TOPOLOGICAL
AUTOCORR2D_10,TOPOLOGICAL
AUTOCORR2D_11,TOPOLOGICAL
AUTOCORR2D_12,TOPOLOGICAL
AUTOCORR2D_14,TOPOLOGICAL
AUTOCORR2D_15,TOPOLOGICAL
AUTOCORR2D_16,TOPOLOGICAL
AUTOCORR2D_17,TOPOLOGICAL
AUTOCORR2D_18,TOPOLOGICAL
AUTOCORR2D_19,TOPOLOGICAL
AUTOCORR2D_20,TOPOLOGICAL
AUTOCORR2D_21,TOPOLOGICAL
AUTOCORR2D_22,TOPOLOGICAL
AUTOCORR2D_23,TOPOLOGICAL
