Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
MolLogP,-0.7562754080207306,0.0,-0.7629027781161226,0.0,0.7562754080207306,0.7629027781161226,0.5726079828865798
PEOE_VSA6,-0.5988203694791804,0.0,-0.5532930312471088,0.0,0.5988203694791804,0.5532930312471088,0.38276612527640286
abraham_E,-0.5869984559765857,0.0,-0.6429667052023649,0.0,0.5869984559765857,0.6429667052023649,0.36909752647383287
FpDensityMorgan1,0.5751233078826536,0.0,0.5246139952988835,0.0,0.5751233078826536,0.5246139952988835,0.34124881947051033
HeavyAtomMolWt,-0.5745618254494369,0.0,-0.5936574282820363,0.0,0.5745618254494369,0.5936574282820363,0.35278193037255035
Chi0v,-0.572296748451661,0.0,-0.6183932806636059,0.0,0.572296748451661,0.6183932806636059,0.3625777080409135
MolWt,-0.5721175872900737,0.0,-0.5983318660096204,0.0,0.5721175872900737,0.5983318660096204,0.3546486338200602
ExactMolWt,-0.5707522903810848,0.0,-0.5974866510400649,0.0,0.5707522903810848,0.5974866510400649,0.3533891627314695
AUTOCORR2D_29,-0.5580956402507069,0.0,-0.592799287107773,0.0,0.5580956402507069,0.592799287107773,0.34718373512052125
num_C,-0.5580857523964295,0.0,-0.6166442352156823,0.0,0.5580857523964295,0.6166442352156823,0.3295136878344229
AUTOCORR2D_30,-0.5533778799940376,0.0,-0.5658141645314055,0.0,0.5533778799940376,0.5658141645314055,0.3187621321710524
AUTOCORR2D_28,-0.5474499969416234,0.0,-0.6015201366000046,0.0,0.5474499969416234,0.6015201366000046,0.3553127914615346
AUTOCORR2D_6,-0.5341505036253397,0.0,-0.5476287923481998,0.0,0.5341505036253397,0.5476287923481998,0.31123834596532607
Chi1v,-0.5333889593226615,0.0,-0.5952393127446506,0.0,0.5333889593226615,0.5952393127446506,0.3205664507348889
AUTOCORR2D_13,-0.5301522651141919,0.0,-0.5691595837217693,0.0,0.5301522651141919,0.5691595837217693,0.31124292493588723
AUTOCORR2D_14,-0.528243104123591,0.0,-0.5443295512578323,0.0,0.528243104123591,0.5443295512578323,0.28810201148252057
AUTOCORR2D_27,-0.5233659817225389,0.0,-0.608432607316278,0.0,0.5233659817225389,0.608432607316278,0.3635990393654329
AUTOCORR2D_31,-0.5220926155542716,0.0,-0.5279710109249834,0.0,0.5220926155542716,0.5279710109249834,0.2739428679411716
AUTOCORR2D_7,-0.5184238621380866,0.0,-0.5232335387483844,0.0,0.5184238621380866,0.5232335387483844,0.27607829938498163
Chi1,-0.5177561776571791,0.0,-0.5669804928743342,0.0,0.5177561776571791,0.5669804928743342,0.2857100633901266
AUTOCORR2D_5,-0.5170921478559658,0.0,-0.5515758730537121,0.0,0.5170921478559658,0.5515758730537121,0.31209479035398213
HeavyAtomCount,-0.514688372777216,0.0,-0.5621141966597921,0.0,0.514688372777216,0.5621141966597921,0.2835326998077856
total_atoms,-0.5146872403094842,0.0,-0.5621135297398832,0.0,0.5146872403094842,0.5621135297398832,0.2835370451885043
AUTOCORR2D_12,-0.5127074226145965,0.0,-0.5704262364265996,0.0,0.5127074226145965,0.5704262364265996,0.31129501316145247
mose_path3,-0.5046445187847032,0.0,-0.5533434125632631,0.0,0.5046445187847032,0.5533434125632631,0.27682613616506413
AUTOCORR2D_15,-0.5009023161830939,0.0,-0.5130528578025076,0.0,0.5009023161830939,0.5130528578025076,0.25182497660873415
Chi0,-0.5006117114853151,0.0,-0.5455184380955487,0.0,0.5006117114853151,0.5455184380955487,0.26696721295362513
Chi1n,-0.49767364599720504,0.0,-0.5552038766895742,0.0,0.49767364599720504,0.5552038766895742,0.26690918315376033
AUTOCORR2D_26,-0.4973587810782852,0.0,-0.6175811052925578,0.0,0.4973587810782852,0.6175811052925578,0.39220938997670474
NumAromaticCarbocycles,-0.4953878207595666,0.0,-0.4531058469062494,0.0,0.4953878207595666,0.4531058469062494,0.24681574238567316
fr_benzene,-0.49532261231641356,0.0,-0.45304948990757316,0.0,0.49532261231641356,0.45304948990757316,0.24679547161726367
mose_benzene,-0.49532261231641356,0.0,-0.45304948990757316,0.0,0.49532261231641356,0.45304948990757316,0.24679547161726367
AUTOCORR2D_4,-0.4944374841685859,0.0,-0.5474067368660538,0.0,0.4944374841685859,0.5474067368660538,0.31051560345680895
Chi0n,-0.4918413108974746,0.0,-0.5428185620114095,0.0,0.4918413108974746,0.5428185620114095,0.2578898187785359
AUTOCORR2D_22,-0.49122265374768154,0.0,-0.5083567519850188,0.0,0.49122265374768154,0.5083567519850188,0.2463247767823169
AUTOCORR2D_38,-0.49066609116776044,0.0,-0.507220418060178,0.0,0.49066609116776044,0.507220418060178,0.2452409402264254
NumValenceElectrons,-0.4898146462840614,0.0,-0.53697198784433,0.0,0.4898146462840614,0.53697198784433,0.25927103628058856
Kappa1,-0.4892408605586132,0.0,-0.5229910096211395,0.0,0.4892408605586132,0.5229910096211395,0.2630736146050384
mose_path4,-0.4871253711155543,0.0,-0.5374907604417596,0.0,0.4871253711155543,0.5374907604417596,0.2669798535508462
Chi2v,-0.4845592256493585,0.0,-0.5763998647332049,0.0,0.4845592256493585,0.5763998647332049,0.2852122931613914
AUTOCORR2D_24,-0.4844707506934718,0.0,-0.635177928741011,0.0,0.4844707506934718,0.635177928741011,0.4058590743566902
AUTOCORR2D_46,-0.48365222347926706,0.0,-0.496061042045076,0.0,0.48365222347926706,0.496061042045076,0.24102794786236847
AUTOCORR2D_11,-0.4835667817614434,0.0,-0.5723107341750326,0.0,0.4835667817614434,0.5723107341750326,0.31691822418446114
AUTOCORR2D_37,-0.4822140555158051,0.0,-0.5184836223999262,0.0,0.4822140555158051,0.5184836223999262,0.25180934466902816
AUTOCORR2D_21,-0.48075941304463005,0.0,-0.517807922167302,0.0,0.48075941304463005,0.517807922167302,0.25113376269990983
