Feature_1,Category_1,Feature_2,Category_2,Correlation,Abs_Correlation
fr_benzene,COMPOSITIONAL,mose_benzene,TOPOLOGICAL,1.0,1.0
fr_Ar_NH,COMPOSITIONAL,fr_Nhpyrrole,COMPOSITIONAL,1.0,1.0
total_atoms,COMPOSITIONAL,HeavyAtomCount,COMPOSITIONAL,0.9999998955875584,0.9999998955875584
MaxAbsEStateIndex,PHYSICOCHEMICAL,MaxEStateIndex,PHYSICOCHEMICAL,0.9999899682214695,0.9999899682214695
MolWt,COMPOSITIONAL,ExactMolWt,COMPOSITIONAL,0.999973834132855,0.999973834132855
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9997277863285892,0.9997277863285892
NumAromaticCarbocycles,COMPOSITIONAL,mose_benzene,TOPOLOGICAL,0.9996112678210856,0.9996112678210856
NumAromaticCarbocycles,COMPOSITIONAL,fr_benzene,COMPOSITIONAL,0.9996112678210856,0.9996112678210856
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9995794431419953,0.9995794431419953
fr_COO,COMPOSITIONAL,fr_COO2,COMPOSITIONAL,0.9994011164249815,0.9994011164249815
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.999315011148592,0.999315011148592
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.999088111792128,0.999088111792128
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9985273608763574,0.9985273608763574
HeavyAtomCount,COMPOSITIONAL,Chi1,TOPOLOGICAL,0.9981552213796793,0.9981552213796793
total_atoms,COMPOSITIONAL,Chi1,TOPOLOGICAL,0.9981552126338902,0.9981552126338902
AUTOCORR2D_18,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9980109330556584,0.9980109330556584
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_31,TOPOLOGICAL,0.997811440213378,0.997811440213378
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9973930711133395,0.9973930711133395
MolWt,COMPOSITIONAL,HeavyAtomMolWt,COMPOSITIONAL,0.997232393256303,0.997232393256303
HeavyAtomMolWt,COMPOSITIONAL,ExactMolWt,COMPOSITIONAL,0.996960286684542,0.996960286684542
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9968105713019915,0.9968105713019915
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9966543936289738,0.9966543936289738
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9957369083170904,0.9957369083170904
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_23,TOPOLOGICAL,0.9952578072054125,0.9952578072054125
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9949724113646613,0.9949724113646613
total_atoms,COMPOSITIONAL,Chi0,TOPOLOGICAL,0.9949399430430207,0.9949399430430207
HeavyAtomCount,COMPOSITIONAL,Chi0,TOPOLOGICAL,0.9949396890725812,0.9949396890725812
AUTOCORR2D_159,TOPOLOGICAL,AUTOCORR2D_175,TOPOLOGICAL,0.9945409661723468,0.9945409661723468
NumValenceElectrons,COMPOSITIONAL,Chi0,TOPOLOGICAL,0.9945405093051185,0.9945405093051185
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9930319916562356,0.9930319916562356
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.99281424749388,0.99281424749388
fr_phos_acid,COMPOSITIONAL,fr_phos_ester,COMPOSITIONAL,0.9925702296604556,0.9925702296604556
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.9922804280489231,0.9922804280489231
AUTOCORR2D_63,TOPOLOGICAL,AUTOCORR2D_79,TOPOLOGICAL,0.9915980306545301,0.9915980306545301
mose_path4,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9908998123206203,0.9908998123206203
