Feature,Target_Correlation,Abs_Correlation
MolLogP,-0.7629027781161226,0.7629027781161226
abraham_E,-0.6429667052023649,0.6429667052023649
AUTOCORR2D_24,-0.635177928741011,0.635177928741011
AUTOCORR2D_25,-0.6235857445414457,0.6235857445414457
Chi0v,-0.6183932806636059,0.6183932806636059
AUTOCORR2D_26,-0.6175811052925578,0.6175811052925578
num_C,-0.6166442352156823,0.6166442352156823
AUTOCORR2D_27,-0.608432607316278,0.608432607316278
AUTOCORR2D_8,-0.6059526233161884,0.6059526233161884
AUTOCORR2D_28,-0.6015201366000046,0.6015201366000046
MolWt,-0.5983318660096204,0.5983318660096204
ExactMolWt,-0.5974866510400649,0.5974866510400649
Chi1v,-0.5952393127446506,0.5952393127446506
HeavyAtomMolWt,-0.5936574282820363,0.5936574282820363
AUTOCORR2D_9,-0.592931511402581,0.592931511402581
AUTOCORR2D_29,-0.592799287107773,0.592799287107773
AUTOCORR2D_10,-0.585348727824725,0.585348727824725
Chi3v,-0.5813484874848017,0.5813484874848017
Chi2v,-0.5763998647332049,0.5763998647332049
AUTOCORR2D_11,-0.5723107341750326,0.5723107341750326
AUTOCORR2D_12,-0.5704262364265996,0.5704262364265996
Chi4v,-0.5703480158593237,0.5703480158593237
AUTOCORR2D_13,-0.5691595837217693,0.5691595837217693
Chi1,-0.5669804928743342,0.5669804928743342
AUTOCORR2D_30,-0.5658141645314055,0.5658141645314055
HeavyAtomCount,-0.5621141966597921,0.5621141966597921
total_atoms,-0.5621135297398832,0.5621135297398832
Chi1n,-0.5552038766895742,0.5552038766895742
mose_path3,-0.5533434125632631,0.5533434125632631
PEOE_VSA6,-0.5532930312471088,0.5532930312471088
AUTOCORR2D_5,-0.5515758730537121,0.5515758730537121
AUTOCORR2D_6,-0.5476287923481998,0.5476287923481998
AUTOCORR2D_4,-0.5474067368660538,0.5474067368660538
Chi3n,-0.5460205226494605,0.5460205226494605
Chi0,-0.5455184380955487,0.5455184380955487
Chi4n,-0.5449082532033053,0.5449082532033053
Chi2n,-0.5443491325080746,0.5443491325080746
AUTOCORR2D_14,-0.5443295512578323,0.5443295512578323
AUTOCORR2D_0,-0.5429084134815714,0.5429084134815714
Chi0n,-0.5428185620114095,0.5428185620114095
AUTOCORR2D_3,-0.5417031052662248,0.5417031052662248
mose_path4,-0.5374907604417596,0.5374907604417596
mose_path5,-0.5370012537704381,0.5370012537704381
