Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
Cc1cc(=O)n(-c2ccccc2)[nH]1,CCC(C)O,5,283,323,0.996298037500705,0.011656936530418917,0.9856523589914623,0.03407987208377697,8,False,,,,,0.999393744218753,0.9999838974723698,0.9994175735128508,0.9944654131446944,Excellent
COc1cc(C(=O)O)cc(OC)c1O,CCCCCCO,9,283,323,0.9814410377220337,0.027084468006790385,0.9851823637342184,0.05158700772204086,4,True,0.8614595817182171,0.877563057669597,0.9942543850198934,0.9922238284292682,0.9986031940910218,0.9992491412626948,0.9999983815287231,0.9898365249951592,Excellent
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,CCC(=O)OC,9,283,323,0.9939044385418805,0.014575285207175416,0.9597950063599938,0.07993051858499975,4,True,0.9672520288003219,0.9535106138926868,0.9967693526803485,0.996371962800956,0.9998533825891056,0.9983952904503193,0.9998968210993548,0.9857682557804972,Excellent
NC(=O)c1ccccc1N,CCCCCCO,11,273,323,0.9932061575397233,0.01699737441957924,0.9359994746103147,0.10832154623544635,4,True,0.992834131438893,0.9968181080478217,0.9925111295639147,0.9794429893162113,0.9961099628852079,0.9939822723833953,0.999996478976559,0.9775574399170023,Excellent
O=C(c1ccccc1)c1ccccc1,CCCCCCCCO,9,278,318,0.9790422399870126,0.03447050956030071,0.944736118029244,0.1191438251219241,4,True,0.9608928516371907,0.9425116882640655,0.9796999598133664,0.9935176457118076,0.9964496806195868,0.9983927521571092,0.9999984612962934,0.9768117500955575,Excellent
Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCC(C)O,10,288,333,0.9739649299766135,0.03045421793873968,0.9475841004675609,0.09082423051244527,4,True,0.828085721473524,0.8232739575027272,0.9799415420358286,0.9806260167339829,0.9999851329950529,0.9968318051998706,0.9995074520498864,0.9757325605832037,Excellent
Nc1nc(N)nc(NC2CC2)n1,CCCCCCO,9,283,323,0.9812320203522495,0.030941153265926866,0.9369933675615884,0.12122107271579297,4,True,0.9962639958434509,0.9952811555340115,0.9737283863688492,0.9755765858671372,0.999986364693147,0.9974988888700839,0.9999478611568369,0.9749569663795354,Excellent
COC(=O)c1ccc(C(=O)OC)cc1,CCCOC(C)=O,9,283,323,0.9782695993667974,0.028446403873690563,0.929349108327807,0.10991200877740194,4,True,0.9349950247371491,0.9583958656916314,0.9831087823714352,0.983029671921007,0.9994945764942738,0.9995579837032523,0.9999018080421137,0.9721775706574546,Excellent
COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CC(C)CCO,9,278,318,0.9452077831351465,0.035760852850460156,0.9520170032889846,0.07171710359768556,4,True,0.7488134802913351,0.7290393874186812,0.9656570317733862,0.9669743762720318,0.9996893084675008,0.9998235402804528,0.9996809606491897,0.9690683361131679,Excellent
N#Cc1ccc2c(c1)OCO2,CCCOC(C)=O,10,278,323,0.9557524861311926,0.03825545006343571,0.9369764902907559,0.09611872065847193,4,True,0.5607974886637023,0.4878822179138286,0.9883097209478465,0.9877330429087785,0.9993113060761588,0.9991139059604601,0.9992501674396816,0.9674915076066128,Excellent
O=C(O)COc1ccc(Cl)cc1,CCC(C)O,9,283,323,0.9601293654873783,0.04229969311141752,0.9266463240873513,0.12305708822367752,4,True,0.8931555154713142,0.9021517244435084,0.9632880799144102,0.9669684737582139,0.999903331545855,0.9997868341051689,0.9999517337382482,0.9659804204411023,Excellent
O=C(O)COc1ccc(Cl)cc1Cl,CCC(C)O,10,278,323,0.9711000608476767,0.0365401237619002,0.9175421239513047,0.13091157762081698,4,True,0.8163818959973832,0.7964536822341839,0.9856310259444954,0.9834013799086518,0.9999380162101498,0.999202015967363,0.9973379428103897,0.9659006471952449,Excellent
O=Cc1ccc(C=O)cc1,CC(C)CCO,10,273,318,0.9047876937213623,0.06027813235676448,0.9816655877924882,0.05571766657432245,4,True,0.04243604948243718,0.00266843091011848,0.9860664577336851,0.9837385783066863,0.9998315042315687,0.9971063836508965,0.9991905551365415,0.9651953722116428,Excellent
O=c1[nH]cnc2[nH]ncc12,CCCCCCO,12,278,333,0.9601737131777575,0.052312898590871855,0.9230828992035153,0.14880947094345026,4,True,0.7289111734803058,0.7190902704081782,0.9843163908998164,0.9796777565818446,0.9997488837566063,0.9945112583808052,0.9989696960821269,0.9636731746069683,Excellent
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,CS(C)=O,7,293,323,0.9564884183709992,0.02402474067324189,0.9194377221071581,0.07400950988764667,4,True,0.7988323972451041,0.8436661975432383,0.9657729413303645,0.9721211244458291,0.99975565516608,0.9999248416167094,0.9996995520671434,0.9627027208802178,Excellent
CP(=O)(c1ccccc1)c1ccccc1,Cc1ccccc1C,8,293,328,0.8981310033906669,0.045683090290819205,0.978791344522638,0.046632088841084204,4,True,0.8693992617293335,0.7805034009841589,0.9585874857371554,0.9171984367063459,0.997040398222781,0.9969851237288717,0.9999680165188309,0.962467332423532,Excellent
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,CN1CCCC1=O,11,283,333,0.9520308848745577,0.04491534199214918,0.9273051727181689,0.11314613781153794,4,True,0.7651833754864181,0.8546076095098847,0.9592499276364173,0.9712470556723847,0.9977284416819943,0.9941490057561094,0.9945415023108889,0.9615389188912176,Excellent
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)CCO,8,284,319,0.9688762666305697,0.029898498452155167,0.9040007581486224,0.11825255784098695,4,True,0.9307390440161427,0.9231668352947284,0.9718303649386352,0.9697707375938002,0.9999325586574991,0.9964450232360728,0.997758937363081,0.9607038995535885,Excellent
Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCCCCCCO,10,288,333,0.8850244467688652,0.06573690507083357,0.9850639477269828,0.04980398457005508,4,True,0.2780719677145541,0.15801257146153191,0.9772735274151305,0.9598650312370337,0.9982697450149902,0.9971843543818446,0.9994195082222148,0.9603472908695663,Excellent
c1ccc2oc(CSCc3nc4ccccc4o3)nc2c1,Clc1ccccc1,10,275,318,0.9767067039547416,0.04933355489364101,0.8938578033067026,0.22482872318404337,4,True,0.959735841833486,0.952335603922322,0.9660599770306676,0.9657257714063299,0.999862479698971,0.9938427249878625,0.9997278910234604,0.9598834753806977,Excellent
O=C1c2ccccc2-c2ccccc21,ClC(Cl)(Cl)Cl,11,283,333,0.956171676250408,0.04658233087375843,0.915759566258124,0.13424548394980515,4,True,0.7837906139566788,0.7093867322312287,0.982864251161836,0.9696870242638471,0.9965614177790403,0.983401667362356,0.9996008588328791,0.9581798779916066,Excellent
