Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
Brc1ccc(N=C2NCCC3(CCCCC3)S2)cc1,CCCCCC,5,293,315,-194.8393903238941,2.6089431315001206,-33.93021659807271,2.594146935568555,5,False,,,,,0.9994470552910701,0.9942149321247672,0.9997586981309372,0.3987947260511409,Poor
C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,CN1CCCC1=O,5,323,383,-7.798707421683183,1.1150042537600295,-5.2741565606271115,1.1497268024829612,12,False,,,,,0.9965477123876658,0.9968499973493747,0.9739756890620249,0.39416513728228,Poor
C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(-c2nc3ccccc3o2)cc1,Clc1ccccc1,5,323,383,-41.7494515439924,1.8471509626864049,-29.64610467744417,1.8507432387137186,12,False,,,,,0.9531753462149571,0.946597155017078,0.9293454091717648,0.37518851283776855,Poor
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,6,288,313,-1.198442682673726,0.21133139308052473,0.6289022731817944,0.20773855802714306,4,False,,,,,0.9977418268538762,0.9912956491777656,0.9999999303651264,0.5869297978631167,Poor
C1N2CN3CN1CN(C2)C3,CC(=O)O,7,305,337,-290437.9957982977,1.1162242462574725,-94716.69635909122,1.16333811636146,6,True,-523133.00122386945,-74063842.53734203,-319205.67731948086,-2924867.823040566,0.6288187387349171,0.9599192897211218,0.5706396499156439,0.30611178792735316,Poor
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,CCCOCCO,9,278,318,-126.16486248375078,0.4739446815791461,-29.85833011400438,0.4858440850057296,4,True,-784.5755324767899,-810.8504009714082,-55.769758805680794,-55.83223997373677,0.9960511946008955,0.9968744754427731,0.9975792462542787,0.3988907443394104,Poor
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,9,278,318,-8.27805389728464,0.21608933014855117,-1.3651800522909125,0.22819626265698362,4,True,-66.46337601739383,-60.50213117503422,-3.162886207146143,-3.68940461235683,0.9974937215169706,0.9975292307594545,0.9987295583143354,0.399251757814758,Poor
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,5,278,318,0.6419819907222075,0.09494802752223722,0.6918306861593986,0.13217280852641133,8,False,,,,,0.9994472220303404,0.9959010058097842,0.9976456159355925,0.7988531274135572,Moderate
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCCCO,5,278,318,0.26093580295824537,0.08449342829702652,0.7179451221837803,0.077883431253707,8,False,,,,,0.9940958605912085,0.9959658403708223,0.9985173392518961,0.6925609134671514,Poor
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCCCOC(C)=O,5,278,318,-1.0064097714568234,0.17888160014331275,0.06071475067614662,0.18076074296376562,8,False,,,,,0.9953823839226664,0.9938132925986402,0.9999716256984503,0.41697140886226214,Poor
