Solute,Solvent,Num_Temps,RMSE_Known,RMSE_Synthetic,R2_Known,R2_Synthetic,R2_Holdout_Interp,R2_Holdout_Extrap
Brc1ccc(N=C2NCCC3(CCCCC3)S2)cc,CCCCCC,5,2.6089431315001206,2.594146935568555,-1.0,-1.0,,
C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c,CN1CCCC1=O,5,1.1150042537600295,1.1497268024829612,-1.0,-1.0,,
C(=Cc1ccc(-c2nc3ccccc3o2)cc1)c,Clc1ccccc1,5,1.8471509626864049,1.8507432387137186,-1.0,-1.0,,
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2,CCCCOC(C)=O,6,0.21133139308052473,0.20773855802714306,-1.0,0.6289022731817944,,
C1N2CN3CN1CN(C2)C3,CC(=O)O,7,1.1162242462574725,1.16333811636146,-1.0,-1.0,-1.0,-1.0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,CCCOCCO,9,0.4739446815791461,0.4858440850057296,-1.0,-1.0,-1.0,-1.0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,COCCO,9,0.21608933014855117,0.22819626265698362,-1.0,-1.0,-1.0,-1.0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,CCC(C)O,5,0.09494802752223722,0.13217280852641133,0.6419819907222075,0.6918306861593986,,
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,CCCCCCO,5,0.08449342829702652,0.077883431253707,0.26093580295824537,0.7179451221837803,,
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,CCCCOC(C)=O,5,0.17888160014331275,0.18076074296376562,-1.0,0.06071475067614662,,
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(C,CCOC=O,5,0.4648283015136861,0.4920668647937909,-1.0,-1.0,,
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C,CCC(C)O,8,0.34618637331495716,0.30274204825608836,-1.0,-1.0,-1.0,-1.0
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C,CCCCCCCCCCCC,8,1.9161165687987038,1.8502394471463008,-1.0,-1.0,-1.0,-1.0
C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C,CCCCCCCCCCCCCCCC,8,1.4369713505365938,1.3685862491507967,-1.0,-1.0,-1.0,-1.0
