Solute,Solvent,Num_Temps,Temp_Min,Temp_Max,R2_Known_Pred_vs_Exp,RMSE_Known,R2_Synthetic_vs_Apelblat,RMSE_Synthetic,Num_Synthetic_Temps,Holdout_Applicable,R2_Holdout_Interp_Pred_vs_Exp,R2_Holdout_Interp_Pred_vs_Apelblat,R2_Holdout_Extrap_Pred_vs_Exp,R2_Holdout_Extrap_Pred_vs_Apelblat,Exp_R2,Pred_R2,Shape_Correlation,Trend_Score,Category
O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccncc1,OCCO,5,298,338,-543.7109344738071,0.9614500150899686,-265.67561815759694,1.0009142630489145,8,False,,,,,0.9968903680105646,0.9434635036741066,0.9963612160730758,0.3879649439494365,Poor
O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])c(-c3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1,COc1ccccc1,9,313,353,-24.063988937547688,0.708208512807806,-4.034282852057761,0.6789412483787451,4,True,-175.26491013433807,-157.6485772290935,-9.643273868000776,-8.088209619654275,0.9967820910066894,0.9487577499977529,0.9888710270817213,0.38752575541589485,Poor
O=C(O)C1=CC(O)C(O)C(O)C1,CCCCCCC,8,302,352,-12.424038674051065,0.6265975512925832,-5.226762734205613,0.6845265798451416,7,True,-90.68201737781934,-66.08186012465526,-6.249891819926507,-5.0280898874321265,0.9882650958741923,0.9373751704514002,0.9999997273516288,0.38747497956060584,Poor
O=C1c2ccccc2C(=O)N1O,CC(=O)O,8,293,363,-1.9814929193052788,0.38649228655594026,-0.5844564679491457,0.37378895203273554,11,True,-17.10463490259062,-16.720576845565613,0.0019186786497958908,0.03493835704860315,0.9998596014310156,0.9499668354037445,0.9861541030636944,0.38722418769348776,Poor
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CN1CCCC1=O,13,298,358,-85.69857178848437,0.8012349162167625,-28.151846914012047,0.9262248391700226,4,True,-580.0852066301247,-473.566004374357,-40.28177709098385,-38.95383654385304,0.9979367421893888,0.9524601152545931,0.9835805264309861,0.3872081283371158,Poor
O=C(O)c1cccc(C(=O)O)c1,CC(=O)OCC(C)C,10,308,353,-9.483531699954858,0.9124594001040177,-1.5201947861381995,0.924328936121677,4,True,-61.30553700268173,-79.09193513381585,-4.090689757488862,-2.789807184937128,0.9763186656251596,0.9480115151841703,0.9878054367249459,0.38716339038182324,Poor
N=C(N)C([N+](=O)[O-])=[N+]([O-])O,CN1CCCC1=O,13,293,372,-549.5803463952332,1.118841211789374,-344.7622089949819,1.161700250048923,11,True,-1549.9602618467732,-2230.8921492764675,-295.649680227486,-291.4273677478292,0.9700139886674046,0.9573056443182135,0.9740361414782505,0.38626835715929286,Poor
O=P(c1ccccc1)(c1ccccc1)c1cc(O)ccc1O,CCOCCO,15,299,368,-1.0159968186298793,0.21384502562727872,-0.17295614860661312,0.32339704037967637,4,True,-5.407515797740523,-5.071762975881732,-0.38261909194417054,-0.22450572570115956,0.9988033037140965,0.9506043015121035,0.9806684849121314,0.38625455728484703,Poor
O=C(O)c1ccc(C(=O)O)cc1,CN1CCCC1=O,7,303,363,-3.440502302735516,0.2644011282147046,-1.777678543894332,0.28626418394062714,10,True,-50.952526891647175,-37.12365394610924,-1.7449322305046118,-1.1467280513509466,0.9985762239284152,0.9437979444342965,0.9871317484019865,0.3861859385672566,Poor
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,CS(C)=O,13,298,358,-69.15224051420955,0.8110879235163954,-21.178361549325345,0.9185057561355812,4,True,-417.78185387125455,-366.7846215547408,-32.82863639406165,-29.806323276452055,0.9955215834411862,0.9374402936083273,0.9924932843401963,0.38598671558970477,Poor
