iter	RMSE
0	1.157880393
1	1.148966139
2	1.139922188
3	1.131643999
4	1.123805159
5	1.115199076
6	1.107075126
7	1.098882016
8	1.091441217
9	1.084050231
10	1.076500133
11	1.069347518
12	1.062373664
13	1.054680295
14	1.048118268
15	1.041202941
16	1.034499725
17	1.027438862
18	1.021149971
19	1.015012513
20	1.009236877
21	1.003714851
22	0.9979947783
23	0.9921910867
24	0.9866907042
25	0.9812103759
26	0.9754361961
27	0.9700892607
28	0.9656343
29	0.9601598299
30	0.9548575438
31	0.9503075142
32	0.9453520491
33	0.9404980476
34	0.9361988718
35	0.9315167368
36	0.9275866538
37	0.9230087257
38	0.9187418774
39	0.9148580719
40	0.9107750731
41	0.9063805001
42	0.9026432138
43	0.8978093888
44	0.8941618162
45	0.8908639493
46	0.8868617123
47	0.882417399
48	0.8788389383
49	0.8756534636
50	0.8723321662
51	0.8684615698
52	0.8649066224
53	0.8615265451
54	0.8582934624
55	0.8552007516
56	0.8516552611
57	0.8488515005
58	0.8455781167
59	0.8420013488
60	0.8391178826
61	0.8359694604
62	0.8330657524
63	0.8303585305
64	0.8275447327
65	0.8242092851
66	0.8214023984
67	0.8187092177
68	0.8163909334
69	0.8136075643
70	0.8106053858
71	0.8080800896
72	0.8052625528
73	0.802787526
74	0.8000845581
75	0.7971203106
76	0.7948738528
77	0.7924928664
78	0.7903369332
79	0.7871353461
80	0.7843174685
81	0.782331192
82	0.780035444
83	0.7776102904
84	0.7747863461
85	0.7724284892
86	0.7705846511
87	0.7684424947
88	0.7662217289
89	0.7635637197
90	0.7610303314
91	0.7591556144
92	0.7567989688
93	0.7544217474
94	0.7527424926
95	0.7502762563
96	0.7484456347
97	0.746991354
98	0.7450507534
99	0.7435172679
100	0.7417035313
101	0.7396561302
102	0.7383287313
103	0.7367224026
104	0.7348366514
105	0.733184941
106	0.7307454582
107	0.7294892687
108	0.728268861
109	0.7260368348
110	0.7241947269
111	0.7227810082
112	0.720872945
113	0.7189514544
114	0.7170996735
115	0.7153210454
116	0.713303086
117	0.7121035955
118	0.7108266579
119	0.7095689332
120	0.7082826884
121	0.7069970054
122	0.7053472082
123	0.7038672496
124	0.702790253
125	0.7013694353
126	0.7000775085
127	0.6990057924
128	0.6975609056
129	0.6960739326
130	0.6948240759
131	0.6932105157
132	0.6921807258
133	0.690971586
134	0.6893273165
135	0.6880421866
136	0.6870412925
137	0.6860031879
138	0.685019383
139	0.6837347854
140	0.6824415264
141	0.6814393905
142	0.680500422
143	0.6788825578
144	0.6779202235
145	0.6766417611
146	0.6754526416
147	0.6743202132
148	0.6733213805
149	0.6720530075
150	0.6705243441
151	0.6690967006
152	0.6676134698
153	0.6669534531
154	0.6656403913
155	0.6640816153
156	0.6626459446
157	0.6613657917
158	0.6603285135
159	0.6590697145
160	0.6576253754
161	0.6565977996
162	0.6553442839
163	0.654140351
164	0.6529626409
165	0.6513948221
166	0.6501364848
167	0.6492101106
168	0.6479340444
169	0.6468445514
170	0.6458535
171	0.6448275351
172	0.6436369682
173	0.6425203836
174	0.6416532582
175	0.6401944801
176	0.6394633737
177	0.6383716433
178	0.6372883699
179	0.6356986638
180	0.6346402732
181	0.6338282967
182	0.6324911955
183	0.6309849553
184	0.6300853047
185	0.6291639923
186	0.62828456
187	0.6271017831
188	0.6263465776
189	0.6256386125
190	0.6248907189
191	0.6237505489
192	0.6227275329
193	0.6220383936
194	0.6214024313
195	0.6201767745
196	0.6192768687
197	0.6183317125
198	0.6174799158
199	0.6169325632
200	0.6159991673
201	0.6150826797
202	0.6142527251
203	0.61326201
204	0.6123248891
205	0.6104579062
206	0.6095436616
207	0.6090196175
208	0.6081686121
209	0.6073891714
210	0.6068649489
211	0.6057599547
212	0.6045283973
213	0.6034902691
214	0.6029005036
215	0.6020254941
216	0.6012459792
217	0.60006036
218	0.5995804467
219	0.5990055416
220	0.5977707691
221	0.5969536356
222	0.5963920318
223	0.595698318
224	0.5949164542
225	0.5939613119
226	0.5932290712
227	0.5927271748
228	0.5917993492
229	0.5911517828
230	0.5908760098
231	0.5904629847
232	0.5899106773
233	0.5889463984
234	0.588177662
235	0.5872645054
236	0.5865907891
237	0.585985612
238	0.5851217214
239	0.5844876407
240	0.5838882205
241	0.5832473999
242	0.5826555491
243	0.5820040853
244	0.5811481881
245	0.5803585505
246	0.5792872078
247	0.5787793812
248	0.5782762575
249	0.5774590482
250	0.5770232014
251	0.5760589763
252	0.5753914329
253	0.574693432
254	0.5740045021
255	0.5731935362
256	0.5724677229
257	0.5720712837
258	0.5713067685
259	0.5708280151
260	0.5699094447
261	0.5687753579
262	0.5678368067
263	0.5671152045
264	0.5664427705
265	0.5659831065
266	0.5654980678
267	0.564738946
268	0.5643531295
269	0.5631629624
270	0.5626392301
271	0.562003536
272	0.5614531876
273	0.5609073833
274	0.5605080921
275	0.559594576
276	0.5589777262
277	0.5583884378
278	0.5577157958
279	0.5571715893
280	0.5565665754
281	0.5559329618
282	0.5552833027
283	0.5548510802
284	0.5539097143
285	0.5534803712
286	0.5531747055
287	0.5526971693
288	0.5522326916
289	0.5514649011
290	0.5508006126
291	0.5500239311
292	0.5490139642
293	0.5484894913
294	0.5479037649
295	0.5471254696
296	0.5466973094
297	0.5460320253
298	0.5453402322
299	0.5447933257
300	0.5443138321
301	0.543717186
302	0.5432182906
303	0.5428194566
304	0.5422891983
305	0.5417508644
306	0.5412697968
307	0.5405670083
308	0.5397435572
309	0.5393302329
310	0.5385418792
311	0.5381049168
312	0.5378568403
313	0.5373575492
314	0.5368113827
315	0.5364420789
316	0.5362200202
317	0.5353452556
318	0.5346934236
319	0.5340678608
320	0.5336519279
321	0.5332792803
322	0.5327128095
323	0.5321341966
324	0.5319048517
325	0.5310578072
326	0.5306431215
327	0.5301379702
328	0.5297853609
329	0.5292191916
330	0.5289281909
331	0.5282871816
332	0.5276981614
333	0.526817767
334	0.5264249908
335	0.526108765
336	0.5256304288
337	0.5250817152
338	0.5246799041
339	0.5242335989
340	0.5236160565
341	0.5232004318
342	0.5227593242
343	0.5218777571
344	0.5212184105
345	0.5206621698
346	0.520078014
347	0.5195062341
348	0.5189116931
349	0.5184277051
350	0.5179089649
351	0.517430197
352	0.5169415952
353	0.5159290877
354	0.5156424604
355	0.514810413
356	0.5140883823
357	0.5136336521
358	0.513281324
359	0.5126650496
360	0.5121109003
361	0.5117524604
362	0.5116068649
363	0.5110101415
364	0.510515309
365	0.5100333852
366	0.5097847071
367	0.5092117747
368	0.5083553577
369	0.50780953
370	0.5074340991
371	0.5068009798
372	0.5061978772
373	0.5056426
374	0.5047169889
375	0.5039119197
376	0.5033462926
377	0.5029974567
378	0.502372526
379	0.5018468061
380	0.5013568277
381	0.5008222263
382	0.5002522995
383	0.4996274511
384	0.499230795
385	0.4990486554
386	0.4980947203
387	0.4973438544
388	0.497109571
389	0.4967647456
390	0.4963205153
391	0.4957296308
392	0.4953259616
393	0.4949894016
394	0.494580577
395	0.4943876676
396	0.4940615652
397	0.4936217517
398	0.4932647939
399	0.4928663271
400	0.4925540746
401	0.4919623314
402	0.4913029097
403	0.4907603165
404	0.4905351877
405	0.4901919413
406	0.4895389941
407	0.4891167844
408	0.488860282
409	0.4884666549
410	0.4879348697
411	0.4874550823
412	0.4870485238
413	0.4867337333
414	0.4864499773
415	0.4862080791
416	0.4856113715
417	0.4850498542
418	0.484680769
419	0.4843248945
420	0.4840678823
421	0.4838006927
422	0.4835608499
423	0.4828539641
424	0.4819686295
425	0.4816145006
426	0.4810473476
427	0.4807478398
428	0.4803840122
429	0.480029028
430	0.4799017632
431	0.4789793341
432	0.4785581391
433	0.4777312765
434	0.4774777501
435	0.477100102
436	0.4766878261
437	0.4764634704
438	0.475700163
439	0.4751783193
440	0.4750505638
441	0.4746995121
442	0.4740989324
443	0.4737884116
444	0.473532303
445	0.4727829876
446	0.4723995624
447	0.4719609978
448	0.471617538
449	0.4711955229
450	0.470734169
451	0.4704315605
452	0.4701245789
453	0.4697061237
454	0.4692731401
455	0.4689114967
456	0.4685335516
457	0.4681286608
458	0.4678983397
459	0.4675378631
460	0.4672554658
461	0.4667228609
462	0.4662572511
463	0.4658100717
464	0.4655760216
465	0.4649040568
466	0.4647494233
467	0.4643521955
468	0.463833849
469	0.4631224835
470	0.4629277448
471	0.462758187
472	0.462482721
473	0.4619925912
474	0.4616967938
475	0.461408189
476	0.4610288837
477	0.4604647281
478	0.4600691366
479	0.4593417077
480	0.4588510585
481	0.4583883868
482	0.4579628508
483	0.4577009518
484	0.4573488507
485	0.4571368084
486	0.4568881921
487	0.4565173397
488	0.4562546806
489	0.4560350337
490	0.4556650782
491	0.4553184844
492	0.4551702075
493	0.4548712425
494	0.4545470055
495	0.4538872148
496	0.4536460902
497	0.4531578572
498	0.4529929706
499	0.4527060494
500	0.4524958713
501	0.4520587027
502	0.4517202787
503	0.4513128055
504	0.4510829322
505	0.4508739687
506	0.4505273899
507	0.4501153862
508	0.4497412338
509	0.4495980847
510	0.4490424054
511	0.4487267919
512	0.4485324527
513	0.4482364395
514	0.4478379033
515	0.4473351197
516	0.4469393817
517	0.4465540208
518	0.4461146835
519	0.4459265065
520	0.4456878204
521	0.4453354968
522	0.4447521919
523	0.4444467868
524	0.4440727227
525	0.443859765
526	0.4433585785
527	0.4430144612
528	0.44263792
529	0.4423125722
530	0.4420497928
531	0.4418036413
532	0.4413152516
533	0.4408484104
534	0.4405869374
535	0.4403367199
536	0.4400281017
537	0.4396947462
538	0.4393355559
539	0.4388975973
540	0.4385141199
541	0.4383006267
542	0.4377986777
543	0.4375918109
544	0.4371871806
545	0.4366286839
546	0.4360958223
547	0.4356967712
548	0.4352407168
549	0.434912788
550	0.4344272286
551	0.4341532641
552	0.4338036586
553	0.4333247469
554	0.4331577451
555	0.4328295946
556	0.4323772077
557	0.4321516703
558	0.431673324
559	0.4312484161
560	0.4309773314
561	0.4307191598
562	0.4305554734
563	0.4303816952
564	0.4301760539
565	0.4299116205
566	0.429504642
567	0.4291672288
568	0.4288423375
569	0.428653722
570	0.4283370171
571	0.4279538731
572	0.4278023462
573	0.4274848704
574	0.4271329191
575	0.4265672275
576	0.4261808646
577	0.4257484533
578	0.4253934618
579	0.4250158733
580	0.4245978819
581	0.4243642166
582	0.4240813721
