iter	Passed	Remaining
0	102	308865
1	158	237436
2	213	213099
3	268	200907
4	325	194946
5	376	188015
6	431	184524
7	486	181817
8	542	180369
9	598	179083
10	657	178591
11	713	177748
12	773	177733
13	832	177661
14	891	177321
15	948	176811
16	1003	176164
17	1069	177232
18	1134	178038
19	1194	177912
20	1252	177652
21	1310	177393
22	1367	177066
23	1428	177084
24	1485	176782
25	1541	176313
26	1602	176420
27	1660	176208
28	1736	177855
29	1795	177755
30	1867	178903
31	1998	185328
32	2064	185617
33	2121	185093
34	2181	184835
35	2242	184642
36	2301	184300
37	2361	184063
38	2419	183686
39	2476	183240
40	2536	183050
41	2595	182826
42	2657	182726
43	2723	183000
44	2781	182683
45	2839	182361
46	2896	182004
47	2954	181698
48	3016	181639
49	3074	181400
50	3131	181077
51	3188	180749
52	3248	180611
53	3307	180468
54	3363	180122
55	3422	179930
56	3480	179726
57	3539	179561
58	3601	179510
59	3657	179239
60	3715	179030
61	3772	178782
62	3831	178616
63	3889	178440
64	3945	178146
65	4001	177891
66	4063	177873
67	4117	177543
68	4174	177322
69	4229	177043
70	4289	176958
71	4346	176750
72	4402	176541
73	4461	176413
74	4518	176224
75	4574	176013
76	4634	175929
77	4691	175766
78	4748	175567
79	4804	175346
80	4868	175443
81	4930	175443
82	4989	175370
83	5051	175367
84	5109	175211
85	5164	175007
86	5224	174941
87	5281	174772
88	5341	174709
89	5402	174669
90	5460	174565
91	5520	174481
92	5578	174363
93	5634	174176
94	5693	174108
95	5749	173936
96	5807	173793
97	5860	173538
98	5915	173354
99	5972	173202
100	6032	173154
101	6086	172923
102	6140	172716
103	6195	172510
104	6252	172382
105	6306	172184
106	6365	172117
107	6422	171970
108	6474	171735
109	6532	171638
110	6589	171516
111	6646	171391
112	6702	171241
113	6759	171110
114	6818	171050
115	6875	170941
116	6933	170847
117	6988	170683
118	7042	170503
119	7098	170362
120	7155	170258
121	7209	170079
122	7270	170047
123	7327	169954
124	7382	169798
125	7437	169646
126	7496	169582
127	7592	170362
128	7649	170236
129	7705	170118
130	7760	169967
131	7817	169862
132	7876	169790
133	7931	169645
134	7989	169562
135	8046	169453
136	8100	169286
137	8156	169152
138	8212	169027
139	8267	168885
140	8324	168801
141	8379	168662
142	8435	168530
143	8493	168459
144	8548	168315
145	8604	168207
146	8658	168044
147	8714	167925
148	8768	167777
149	8825	167682
150	8881	167575
151	8938	167472
152	8996	167402
153	9049	167243
154	9106	167139
155	9165	167096
156	9226	167075
157	9282	166974
158	9337	166850
159	9395	166763
160	9451	166669
161	9508	166566
162	9564	166475
163	9625	166451
164	9681	166337
165	9740	166290
166	9797	166204
167	9854	166118
168	9912	166045
169	9965	165901
170	10022	165804
171	10079	165730
172	10136	165639
173	10191	165526
174	10246	165403
175	10304	165343
176	10356	165184
177	10415	165127
178	10470	165008
179	10528	164940
180	10583	164840
181	10639	164744
182	10699	164697
183	10758	164644
184	10814	164563
185	10873	164509
186	10929	164412
187	10986	164326
188	11046	164301
189	11101	164192
190	11156	164072
191	11210	163958
192	11268	163890
193	11320	163743
194	11374	163616
195	11427	163488
196	11486	163435
197	11543	163362
198	11601	163299
199	11653	163154
200	11710	163072
201	11766	162980
202	11821	162882
203	11879	162818
204	11937	162754
205	11995	162702
206	12053	162636
207	12105	162496
208	12161	162408
209	12218	162325
210	12274	162243
211	12332	162185
212	12394	162176
213	12453	162129
214	12511	162063
215	12569	162001
216	12625	161925
217	12683	161857
218	12736	161738
219	12793	161658
220	12850	161593
221	12906	161504
222	12961	161404
223	13017	161318
224	13072	161228
225	13129	161150
226	13186	161080
227	13241	160993
228	13300	160941
229	13356	160857
230	13374	160322
231	13430	160239
232	13486	160164
233	13545	160120
234	13601	160039
235	13659	159973
236	13714	159889
237	13770	159812
238	13827	159734
239	13883	159662
240	13937	159563
241	13992	159466
242	14045	159359
243	14101	159275
244	14157	159197
245	14212	159112
246	14273	159091
247	14331	159037
248	14391	158998
249	14446	158910
250	14499	158798
251	14556	158734
252	14611	158651
253	14667	158575
254	14724	158499
255	14780	158426
256	14837	158359
257	14889	158242
258	14946	158178
259	15000	158081
260	15058	158023
261	15115	157959
262	15170	157877
263	15223	157774
264	15278	157690
265	15332	157590
266	15386	157496
267	15442	157423
268	15494	157306
269	15550	157235
270	15607	157164
271	15667	157135
272	15724	157068
273	15781	157009
274	15832	156887
275	15887	156803
276	15944	156739
277	16001	156676
278	16059	156624
279	16113	156533
280	16167	156441
281	16224	156373
282	16279	156291
283	16335	156222
284	16392	156157
285	16448	156084
286	16502	155996
287	16558	155928
288	16614	155855
289	16669	155776
290	16724	155695
291	16783	155648
292	16840	155588
293	16894	155501
294	16951	155436
295	17008	155376
296	17064	155306
297	17122	155249
298	17177	155173
299	17234	155106
300	17295	155086
301	17350	155008
302	17407	154941
303	17464	154883
304	17523	154836
305	17578	154759
306	17633	154676
307	17690	154617
308	17745	154545
309	17800	154463
310	17856	154391
311	17911	154316
312	17962	154205
313	18017	154126
314	18073	154050
315	18129	153985
316	18182	153894
317	18240	153836
318	18295	153766
319	18351	153695
320	18406	153614
321	18460	153533
322	18516	153461
323	18576	153429
324	18629	153333
325	18684	153256
326	18739	153186
327	18795	153118
328	18850	153038
329	18905	152961
330	18958	152870
331	19015	152810
332	19070	152739
333	19130	152702
334	19183	152608
335	19238	152533
336	19295	152475
337	19352	152418
338	19408	152347
339	19463	152273
340	19520	152210
341	19577	152156
342	19633	152091
343	19692	152042
344	19747	151966
345	19804	151908
346	19860	151847
347	19917	151785
348	19973	151718
349	20029	151651
350	20087	151600
351	20146	151554
352	20200	151477
353	20257	151419
354	20313	151349
355	20371	151295
356	20426	151223
357	20482	151157
358	20537	151084
359	20595	151036
360	20650	150961
361	20705	150888
362	20756	150785
363	20812	150719
364	20951	151249
365	21009	151199
366	21059	151086
367	21115	151019
368	21171	150957
369	21229	150898
370	21284	150828
371	21345	150792
372	21429	150929
373	21489	150887
374	21552	150864
375	21612	150828
376	21672	150789
377	21729	150725
378	21786	150665
379	21846	150627
380	21910	150613
381	21970	150571
382	22036	150574
383	22108	150615
384	22161	150524
385	22216	150448
386	22285	150468
387	22386	150703
388	22443	150639
389	22497	150558
390	22554	150499
391	22652	150709
392	22758	150972
393	22836	151045
394	22894	150988
395	22952	150930
396	23010	150874
397	23067	150806
398	23123	150734
399	23180	150670
400	23237	150607
401	23298	150571
402	23361	150543
403	23423	150511
404	23482	150464
405	23543	150420
406	23612	150434
407	23676	150414
408	23737	150379
409	23801	150357
410	23864	150330
411	23929	150316
412	23989	150266
413	24052	150242
414	24108	150172
415	24171	150144
416	24231	150093
417	24295	150072
418	24352	150010
419	24412	149961
420	24483	149982
421	24542	149932
422	24600	149871
423	24658	149814
424	24718	149766
425	24776	149707
426	24836	149656
427	24910	149693
428	24973	149666
429	25035	149629
430	25088	149540
431	25146	149479
432	25204	149420
433	25264	149375
434	25317	149288
435	25374	149220
436	25435	149177
437	25493	149118
438	25555	149083
439	25616	149044
440	25672	148970
441	25728	148901
442	25789	148856
443	25848	148804
444	25908	148753
445	25967	148704
446	26025	148640
447	26083	148582
448	26139	148510
449	26194	148433
450	26254	148384
451	26314	148336
452	26373	148283
453	26436	148252
454	26496	148205
455	26552	148135
456	26610	148074
457	26669	148019
458	26729	147974
459	26791	147937
460	26854	147903
461	26916	147864
462	26978	147828
463	27039	147784
464	27096	147717
465	27155	147666
466	27209	147582
467	27268	147531
468	27329	147487
469	27388	147434
470	27448	147383
471	27502	147300
472	27565	147266
473	27628	147238
474	27690	147198
475	27751	147152
476	27811	147101
477	27871	147056
478	27933	147014
479	27991	146953
480	28047	146887
481	28103	146817
482	28161	146756
483	28219	146697
484	28282	146662
485	28342	146613
486	28402	146563
487	28463	146517
488	28518	146443
489	28575	146374
490	28630	146299
491	28684	146221
492	28737	146137
493	28795	146074
