solute,solvent,dominant_interaction,dominant_feature_group,abs_error
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.19142848814717817
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.22699819071707406
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.22866850272379458
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.19547431483389155
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.19864252714287545
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,CCCCOC(C)=O,MinPartialCharge,Solvent,0.22323609936021238
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.2963307536008164
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.2858832806734277
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.25772143145636917
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.24308114077738419
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.19621475375961916
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.17641114815863956
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.1502463098001553
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.13086750523324142
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,COCCO,abraham_B,Solvent,0.12601612667642048
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,TPSA,Interact,0.12762896357844444
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,TPSA,Interact,0.07258555637934383
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,TPSA,Interact,0.06917835355852775
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,CCC(C)O,TPSA,Thermo,0.10079431415845574
