Index,Feature
0,Solute_mose_cyc3
1,Solute_mose_cyc5
2,Solute_mose_cyc6
3,Solute_mose_cyc7
4,Solute_mose_benzene
5,Solute_mose_branched_4
6,Solute_mose_star_5
7,Solute_mose_fused
8,Solute_mose_path3
9,Solute_mose_path4
10,Solute_mose_path5
11,Solute_pred_Tm
12,Solute_abraham_A
13,Solute_abraham_B
14,Solute_abraham_S
15,Solute_abraham_E
16,Solute_abraham_V
17,Solute_MaxAbsEStateIndex
18,Solute_MaxEStateIndex
19,Solute_MinAbsEStateIndex
20,Solute_MinEStateIndex
21,Solute_qed
22,Solute_SPS
23,Solute_MolWt
24,Solute_NumValenceElectrons
25,Solute_MaxPartialCharge
26,Solute_MinPartialCharge
27,Solute_MaxAbsPartialCharge
28,Solute_MinAbsPartialCharge
29,Solute_AvgIpc
30,Solute_BalabanJ
31,Solute_BertzCT
32,Solute_HallKierAlpha
33,Solute_Kappa1
34,Solute_Kappa2
35,Solute_LabuteASA
36,Solute_PEOE_VSA1
37,Solute_PEOE_VSA10
38,Solute_PEOE_VSA11
39,Solute_PEOE_VSA12
40,Solute_PEOE_VSA13
41,Solute_PEOE_VSA14
42,Solute_PEOE_VSA2
43,Solute_PEOE_VSA3
44,Solute_PEOE_VSA4
45,Solute_PEOE_VSA5
46,Solute_PEOE_VSA6
47,Solute_PEOE_VSA7
48,Solute_PEOE_VSA8
49,Solute_PEOE_VSA9
50,Solute_TPSA
51,Solute_EState_VSA1
52,Solute_EState_VSA10
53,Solute_EState_VSA11
54,Solute_EState_VSA2
55,Solute_EState_VSA3
56,Solute_EState_VSA4
57,Solute_EState_VSA5
58,Solute_EState_VSA6
59,Solute_EState_VSA7
60,Solute_EState_VSA8
61,Solute_EState_VSA9
62,Solute_FractionCSP3
63,Solute_HeavyAtomCount
64,Solute_NHOHCount
65,Solute_NOCount
66,Solute_NumAliphaticCarbocycles
67,Solute_NumAliphaticHeterocycles
68,Solute_NumAliphaticRings
69,Solute_NumAmideBonds
70,Solute_NumAromaticCarbocycles
71,Solute_NumAromaticHeterocycles
72,Solute_NumAromaticRings
73,Solute_NumBridgeheadAtoms
74,Solute_NumHAcceptors
75,Solute_NumHDonors
76,Solute_NumHeteroatoms
77,Solute_NumHeterocycles
78,Solute_NumRotatableBonds
79,Solute_NumSaturatedCarbocycles
80,Solute_NumSaturatedHeterocycles
81,Solute_NumSaturatedRings
82,Solute_NumSpiroAtoms
83,Solute_Phi
84,Solute_RingCount
85,Solute_MolLogP
86,Solute_fr_Al_COO
87,Solute_fr_Al_OH
88,Solute_fr_Al_OH_noTert
89,Solute_fr_ArN
90,Solute_fr_Ar_COO
91,Solute_fr_Ar_N
92,Solute_fr_Ar_NH
93,Solute_fr_Ar_OH
94,Solute_fr_COO
95,Solute_fr_COO2
96,Solute_fr_C_O
97,Solute_fr_C_O_noCOO
98,Solute_fr_C_S
99,Solute_fr_HOCCN
100,Solute_fr_Imine
101,Solute_fr_NH0
102,Solute_fr_NH1
103,Solute_fr_NH2
104,Solute_fr_N_O
105,Solute_fr_Ndealkylation1
106,Solute_fr_Ndealkylation2
107,Solute_fr_Nhpyrrole
108,Solute_fr_SH
109,Solute_fr_aldehyde
110,Solute_fr_alkyl_carbamate
111,Solute_fr_alkyl_halide
112,Solute_fr_allylic_oxid
113,Solute_fr_amide
114,Solute_fr_amidine
115,Solute_fr_aniline
116,Solute_fr_aryl_methyl
117,Solute_fr_azo
118,Solute_fr_benzene
119,Solute_fr_benzodiazepine
120,Solute_fr_bicyclic
121,Solute_fr_epoxide
122,Solute_fr_ester
123,Solute_fr_ether
124,Solute_fr_furan
125,Solute_fr_guanido
126,Solute_fr_halogen
127,Solute_fr_hdrzine
128,Solute_fr_hdrzone
129,Solute_fr_imidazole
130,Solute_fr_imide
131,Solute_fr_ketone
132,Solute_fr_ketone_Topliss
133,Solute_fr_lactam
134,Solute_fr_lactone
135,Solute_fr_methoxy
136,Solute_fr_morpholine
137,Solute_fr_nitrile
138,Solute_fr_nitro
139,Solute_fr_nitro_arom
