Experiment,R2,RMSE,Delta_RMSE,Delta_R2
FULL MODEL (380 features),0.6614819329128611,0.674473568364918,0.0,0.0
"REMOVE: x_A, x_B Entirely",0.239030306058023,1.0112480316986099,0.3367744633336919,-0.42245162685483806
REMOVE: Category COMPOSITIONAL,0.6545571239012533,0.6813372435767914,0.006863675211873366,-0.0069248090116077465
REMOVE: Category TOPOLOGICAL,0.6574858130695753,0.6784428831685939,0.003969314803675905,-0.003996119843285739
REMOVE: Category ENERGETIC,0.6513134657949522,0.6845285980492224,0.010055029684304384,-0.010168467117908864
REMOVE: Category PHYSICOCHEMICAL,0.5929486333040999,0.7396029204670618,0.06512935210214377,-0.0685332996087612
REMOVE: I (Interaction Terms),0.6604309704391531,0.6755197416128699,0.0010461732479518648,-0.0010509624737079504
REMOVE: f(T) (Engineered State),0.6566990915856374,0.679221594640028,0.004748026275109951,-0.004782841327223619
ONLY: Category COMPOSITIONAL,0.5490949964010203,0.7784245711260647,0.10395100276114666,-0.11238693651184073
ONLY: Category TOPOLOGICAL,0.4600307025603717,0.8518410054578608,0.17736743709294278,-0.20145123035248935
ONLY: Category ENERGETIC,0.6065908671527264,0.7271034873247723,0.05262991895985425,-0.054891065760134694
ONLY: Category PHYSICOCHEMICAL,0.6427576954229499,0.69287589077189,0.018402322406972038,-0.018724237489911144
ONLY: I (Interaction Terms),0.17715938650363083,1.0515546990010287,0.3770811306361107,-0.4843225464092302
ONLY: f(T) (Engineered State),0.20541498476801134,1.0333422676730109,0.35886869930809284,-0.4560669481448497
