Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement,bertz_complexity,n_functional_groups,n_heteroatoms,n_rotatable_bonds,composite_complexity,complexity_quartile
COC(C)COC(C)COC(C)CO,COC(C)COC(C)COC(C)CO,polar-protic,33,0.1669442334242768,0.2940081073463889,0.127063873922112,43.2178129606509,115.29040582818838,2,4,8,2.0400583978923983,Q4
CCCCC(C)=O,CCCCC(C)=O,polar-protic,10,0.6791854859697688,0.7534013372275509,0.074215851257782,9.85077243569672,57.20035947603792,2,1,3,1.1511501231268437,Q2
CC(=O)c1ccccc1,CC(=O)c1ccccc1,polar-protic,15,1.2142568361594832,1.279305692753809,0.0650488565943256,5.0847000027259135,201.06743705866424,2,1,1,1.8666666666666665,Q4
CCCCCCC(C)O,CCCCCCC(C)O,polar-protic,10,0.4241102549190347,0.4884119167907526,0.0643016618717178,13.165457201419228,50.52932501298081,1,1,5,0.7846386951171918,Q2
COC(=O)CCC(=O)OC,COC(=O)CCC(=O)OC,polar-protic,10,1.5588280103347485,1.6147812443555818,0.0559532340208333,3.46506588532757,113.70950594454669,3,4,3,2.3655291956169426,Q4
CC1COC(=O)O1,CC1COC(=O)O1,polar-protic,13,0.7285050084629211,0.7777278400773805,0.0492228316144593,6.329056139942468,88.93569696954751,2,3,0,1.7089844197078978,Q4
CC(C)OC(C)C,CC(C)OC(C)C,polar-protic,24,0.5487253426745884,0.5865559489028119,0.0378306062282235,6.449615982752873,33.444678358882754,1,1,2,0.69966896106168,Q1
NC=O,NC=O,polar-protic,30,0.7094108822721661,0.7461008895634882,0.0366900072913221,4.917566485249449,12.264662506490406,2,2,0,1.1276644228717752,Q2
CN1CCCC1=O,NMP,polar-aprotic,533,0.5030796795810357,0.5357754167784488,0.032695737197413,6.102507911618725,90.08094399727416,2,2,0,1.5146802551175491,Q4
CCCCC(CC)CO,CCCCC(CC)CO,polar-protic,19,0.547686626282448,0.5801522473490667,0.0324656210666186,5.5960519354990454,48.52932501298081,1,1,5,0.7746917836269116,Q2
CCCOCC(C)O,CCCOCC(C)O,polar-protic,33,0.4967858509526519,0.5274805241677225,0.0306946732150705,5.8191102436439195,43.79319390447952,2,2,4,1.2844701784889327,Q3
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,non-polar,20,0.139673483802808,0.1700957065199633,0.0304222227171552,17.885356038416358,80.60593781761291,0,0,0,0.40089006453140896,Q1
CCCCCCCO,CCCCCCCO,polar-protic,128,0.1915741334580022,0.2211991562453854,0.0296250227873831,13.392918531081058,29.368065554250645,1,1,5,0.679394107687771,Q1
CN(C)c1ccccc1,CN(C)c1ccccc1,polar-aprotic,10,0.4155762589301709,0.4426862337864148,0.0271099748562438,6.123970611049944,167.1823264341432,1,1,1,1.3648072352231027,Q3
CCCC(C)O,CCCC(C)O,polar-protic,18,0.6233991552179433,0.6471006799154663,0.0237015246975229,3.662725976523343,25.11941547876375,1,1,2,0.6582636345607509,Q1
CC(=O)CC(C)C,CC(=O)CC(C)C,polar-protic,66,0.2219398102626688,0.2455619250405001,0.0236221147778312,9.61961622264336,64.58027134782355,2,1,2,1.1878537882242033,Q3
CCCCCCCC,CCCCCCCC,non-polar,30,0.7841065002217599,0.806564573722433,0.022458073500673,2.784411097678794,25.019550008653873,0,0,5,0.12443362473135851,Q1
CCCCOCCOCCO,CCCCOCCOCCO,polar-protic,21,0.2191541350823905,0.2388656842910357,0.0197115492086451,8.25214775707526,58.35751032880843,2,3,8,1.556905161683549,Q4
CCCCCCC,Heptane,non-polar,212,0.7576382210713016,0.7771678704653551,0.0195296493940534,2.5129254741783664,19.219280948873624,0,0,4,0.09558624325263633,Q1
CCC(=O)O,CCC(=O)O,polar-protic,38,0.6214892770830694,0.6379495287015994,0.0164602516185299,2.58018085725857,40.1577218810798,2,2,1,1.2663893192678595,Q3
Clc1ccccc1,Clc1ccccc1,non-polar,81,0.7085931848694323,0.7243973414250261,0.0158041565555937,2.1816972056391037,134.10736969541455,1,1,0,1.200310401610614,Q3
CC(C)(C)O,CC(C)(C)O,polar-protic,75,0.3148897922046024,0.3306133979785852,0.0157236057739827,4.7558888629798375,19.11941547876375,1,1,0,0.6284229000899106,Q1
CCCCCC,Hexane,non-polar,521,1.2711530169869865,1.2852912518719934,0.0141382348850069,1.100002420806569,12.0,0,0,3,0.05968146894168066,Q1
CCCC(=O)O,CCCC(=O)O,polar-protic,10,0.0209764709784838,0.0349545106517922,0.0139780396733084,39.9892300383032,49.50977500432694,2,2,2,1.312901341602528,Q3
COCC(C)O,COCC(C)O,polar-protic,46,0.4255712094984115,0.438886448501007,0.0133152390025955,3.0338687940976645,26.729055953200564,2,2,2,1.1996024435592818,Q3
CC(O)CO,Propylene Glycol,polar-protic,162,0.6463689112297691,0.6585788990063522,0.0122099877765831,1.8539901285943472,18.854752972273342,1,2,1,0.8271066128264827,Q2
CCC(C)(C)O,CCC(C)(C)O,polar-protic,53,0.5464439998424213,0.5576572376939878,0.0112132378515664,2.010775991706879,33.69332843436965,1,1,1,0.7009056112081398,Q1
c1ccncc1,c1ccncc1,non-polar,49,0.4996526025330206,0.510585011371038,0.0109324088380173,2.1411534993284183,75.86113958768547,2,1,0,1.2439586871819126,Q3
CC(=O)OCC(C)C,CC(=O)OCC(C)C,polar-protic,109,0.7022615812497935,0.7125715069865095,0.0103099257367159,1.4468619128930666,76.59772060569361,3,2,2,1.7809553736110195,Q4
COCCO,COCCO,polar-protic,103,0.5433917484342172,0.553531270687003,0.0101395222527858,1.8317885166995824,12.364527976600282,2,2,2,1.1281610993678344,Q2
CCCCCCCCCCCC,CCCCCCCCCCCC,non-polar,16,1.622185949325759,1.630551116526334,0.0083651672005748,0.5130269830727994,56.43856189774725,0,0,9,0.2806946899177936,Q1
CCCCCCCCO,1-Octanol,polar-protic,473,0.9577186797427436,0.9654835971083784,0.0077649173656348,0.8042516091304717,37.832293921787276,1,1,6,0.7214905728904735,Q2
Cc1ccc(C(C)C)cc1,Cc1ccc(C(C)C)cc1,non-polar,28,0.109457619780038,0.1158802207001564,0.0064226009201184,5.542447952992005,193.78322454351994,0,0,1,0.9637722914177345,Q2
ClCCCl,"1,2-Dichloroethane",polar-aprotic,178,0.8557508246730732,0.8617082547600734,0.0059574300870002,0.6913511683439729,6.0,1,2,1,0.7631740678041736,Q2
OCCO,Ethylene Glycol,polar-protic,486,0.5287527000467052,0.5336737814049947,0.0049210813582895,0.9221141322202204,6.0,1,2,1,0.7631740678041736,Q2
CCOCCO,2-Ethoxyethanol,polar-protic,243,0.5822298707718844,0.5871161472887003,0.0048862765168159,0.8322504055425402,17.50977500432694,2,2,3,1.1537507577580461,Q2
CC(C)CCCCCO,CC(C)CCCCCO,polar-protic,15,0.2121811328894658,0.215067472498629,0.0028863396091631,1.3420623656520403,50.52932501298081,1,1,5,0.7846386951171918,Q2
CCCCCCO,1-Hexanol,polar-protic,194,0.3349090871884597,0.3374423017090859,0.0025332145206262,0.7507104200617197,23.360990398949916,1,1,4,0.6495181852451524,Q1
