Solvent,Name,Polarity,Count,RMSE_With,RMSE_Without,Delta_RMSE,Pct_Improvement
COC(C)COC(C)COC(C)CO,COC(C)COC(C)COC(C)CO,polar-protic,33,0.1669442334242768,0.2940081073463889,0.12706387392211207,43.2178129606509
CCCCC(C)=O,CCCCC(C)=O,polar-protic,10,0.6791854859697688,0.7534013372275509,0.07421585125778207,9.850772435696719
CC(=O)c1ccccc1,CC(=O)c1ccccc1,polar-protic,15,1.2142568361594832,1.279305692753809,0.06504885659432569,5.0847000027259135
CCCCCCC(C)O,CCCCCCC(C)O,polar-protic,10,0.42411025491903476,0.4884119167907526,0.06430166187171782,13.165457201419228
COC(=O)CCC(=O)OC,COC(=O)CCC(=O)OC,polar-protic,10,1.5588280103347485,1.6147812443555818,0.0559532340208333,3.46506588532757
CC1COC(=O)O1,CC1COC(=O)O1,polar-protic,13,0.7285050084629211,0.7777278400773805,0.049222831614459395,6.329056139942468
CC(C)OC(C)C,CC(C)OC(C)C,polar-protic,24,0.5487253426745884,0.5865559489028119,0.03783060622822354,6.449615982752873
NC=O,NC=O,polar-protic,30,0.7094108822721661,0.7461008895634882,0.0366900072913221,4.917566485249449
CN1CCCC1=O,NMP,polar-aprotic,533,0.5030796795810357,0.5357754167784488,0.03269573719741303,6.102507911618725
CCCCC(CC)CO,CCCCC(CC)CO,polar-protic,19,0.547686626282448,0.5801522473490667,0.032465621066618655,5.5960519354990454
CCCOCC(C)O,CCCOCC(C)O,polar-protic,33,0.49678585095265193,0.5274805241677225,0.030694673215070578,5.8191102436439195
C1CCC2CCCCC2C1,C1CCC2CCCCC2C1,non-polar,20,0.13967348380280808,0.1700957065199633,0.030422222717155223,17.885356038416358
CCCCCCCO,CCCCCCCO,polar-protic,128,0.19157413345800223,0.2211991562453854,0.02962502278738316,13.392918531081058
CN(C)c1ccccc1,CN(C)c1ccccc1,polar-aprotic,10,0.4155762589301709,0.4426862337864148,0.02710997485624389,6.123970611049944
CCCC(C)O,CCCC(C)O,polar-protic,18,0.6233991552179433,0.6471006799154663,0.023701524697522958,3.6627259765233435
CC(=O)CC(C)C,CC(=O)CC(C)C,polar-protic,66,0.22193981026266882,0.2455619250405001,0.02362211477783127,9.61961622264336
CCCCCCCC,CCCCCCCC,non-polar,30,0.7841065002217599,0.806564573722433,0.02245807350067308,2.784411097678794
